SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
bb439097,160,260.796,77,77,0,0,6,0,0
9f652e7a,160,8.151,77,58,0,0,0,0,0
f7cb9b91,48,8.130,77,58,0,0,0,0,0
3afb0a43,53,116.456,77,68,0,0,0,0,0
dd00c81c,32,10.352,77,6,0,0,0,0,0
96c13096,48,8.492,77,61,0,0,0,0,0
04698b21,0,5.728,77,0,0,0,0,0,0
1fd0a702,48,8.272,77,58,0,0,0,0,0
d77a3cfd,48,8.423,77,58,0,0,0,0,0
ed4fa984,48,8.208,77,58,0,0,0,0,0
094c2cb4,48,8.833,77,58,0,0,0,0,0
014cc932,48,8.408,77,58,0,0,0,0,0
427bb666,48,8.718,77,58,0,0,0,0,0
eb052c36,48,9.361,77,58,0,0,0,0,0
e060e937,48,8.501,77,58,0,0,0,0,0
d75e3d25,48,8.212,77,58,0,0,0,0,0
9909973e,48,8.331,77,58,0,0,0,0,0
bf213349,48,8.687,77,58,0,0,0,0,0
81f94cd4,48,8.241,77,61,0,0,0,0,0
5162ef9a,53,102.985,82,68,0,0,0,0,0
sum,1130,623.285,1545,1095,0,0,6,0,0
arith_mean,59.47,31.16,77.25,57.63,0,0,6.00,0,0
geo_mean,53.89,12.85,77.24,53.41,0,0,6.00,0,0
