SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
bb439097,160,369.895,77,77,0,0,6,0,0
9f652e7a,160,8.590,77,4,0,0,0,0,0
f7cb9b91,28,8.654,77,1,0,0,0,0,0
3afb0a43,51,39.053,77,30,0,0,0,0,0
dd00c81c,26,9.719,77,1,0,0,0,0,0
96c13096,43,9.086,77,11,0,0,0,0,0
04698b21,0,6.305,77,0,0,0,0,0,0
1fd0a702,40,8.807,77,3,0,0,0,0,0
d77a3cfd,40,9.308,77,4,0,0,0,0,0
ed4fa984,40,10.986,77,4,0,0,0,0,0
094c2cb4,28,8.588,77,2,0,0,0,0,0
014cc932,40,8.542,77,4,0,0,0,0,0
427bb666,40,8.680,77,3,0,0,0,0,0
eb052c36,29,8.504,77,2,0,0,0,0,0
e060e937,40,8.588,77,3,0,0,0,0,0
d75e3d25,40,8.654,77,3,0,0,0,0,0
9909973e,40,8.146,77,3,0,0,0,0,0
bf213349,40,8.617,77,3,0,0,0,0,0
81f94cd4,46,8.350,77,23,0,0,0,0,0
5162ef9a,53,28.905,82,32,0,0,0,0,0
sum,984,585.977,1545,213,0,0,6,0,0
arith_mean,51.79,29.30,77.25,11.21,0,0,6.00,0,0
geo_mean,44.54,11.97,77.24,4.92,0,0,6.00,0,0
