SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
98c48ea1415006b8a9302c0cdc100cd1ab899925,160,64.708,0,130,597,31.325,37,0,0
e553d489636bbde683314ebd5a134782594eeb1a,0,60.379,0,0,0,31.589,37,0,0
ce7b9aed692c8e16dff96c0ba7f692815a522329,160,61.796,0,11,64,30.933,37,0,0
8cd073c02a0cb19acb2dd5da23b4e76efaaddc5a,33,49.638,0,32,211,31.431,26,0,0
6e794a46fc5966c579080b811c78305b01009570,16,45.362,0,74,403,32.974,11,0,0
c77163782b228f908b14072f0bb6a30af34b6af2,16,32.593,0,74,414,18.690,12,0,0
da51082874b43eaf0a7878042de51a80d8738d08,30,39.906,0,81,457,18.266,13,0,0
7cc0747137b0625f75c72e5f451011fef8821c70,0,47.863,0,0,0,0,37,0,0
886eac0584ccef3d4bc3e92220a1c84e3abf75eb,25,34.386,0,84,487,0,34,0,0
6404ef1f002ce88232249b054813f5e69165e696,0,48.598,0,0,0,0,37,0,0
a039b87192d05b4fdff1e5b7a9ec6eefec492c26,1,26.367,0,4,10,0,0,0,0
c450904fa31d36dc0cd89cb078394037588bd508,0,46.339,0,0,0,0,37,0,0
2af66c0fd889b912f805a316b2edb164714adaaa,15,32.005,0,68,346,0,9,0,0
ab5a7fc04e55c1ba1e879d87e30e03eccd2e1788,21,32.796,0,81,463,0,16,0,0
afd8e1a45fd65bdc17726da207ae051ef2ebdaab,41,40.988,0,85,509,0,33,0,0
1cf7dd622cdd23038aac27ac5cf750a5a23696b4,33,39.738,0,84,487,0,12,0,0
c27515849765549a845b271944cc2c950360878c,19,32.556,0,76,446,0,16,0,0
e4683d3cf5d5118f937a8306af9e3c5c6cc2c5c0,20,32.085,0,78,454,0,16,0,0
9a58e1c461f24c225d179d17e21b32c4a9b51ccf,20,32.817,0,76,450,0,16,0,0
661ba5c3813ce460b79a01e93adfec196d0e3289,11,30.312,0,73,396,0,0,0,0
sum,621,831.232,0,1111,6194,195.208,436,0,0
arith_mean,38.81,41.56,0,69.44,387.12,27.89,24.22,0,0
geo_mean,22.91,40.22,0,55.79,299.93,27.13,21.43,0,0
