SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
98c48ea1415006b8a9302c0cdc100cd1ab899925,160,61.407,0,130,0,31.325,35,0,0
e553d489636bbde683314ebd5a134782594eeb1a,0,37.524,0,0,0,31.589,33,0,0
ce7b9aed692c8e16dff96c0ba7f692815a522329,160,13.172,0,11,0,30.933,0,0,0
8cd073c02a0cb19acb2dd5da23b4e76efaaddc5a,33,30.235,0,32,0,31.431,25,0,0
6e794a46fc5966c579080b811c78305b01009570,16,20.193,0,74,0,32.974,8,0,0
c77163782b228f908b14072f0bb6a30af34b6af2,16,25.487,0,74,0,18.690,10,0,0
da51082874b43eaf0a7878042de51a80d8738d08,30,8.290,0,81,0,18.266,0,0,0
7cc0747137b0625f75c72e5f451011fef8821c70,0,6.331,0,0,0,0,0,0,0
886eac0584ccef3d4bc3e92220a1c84e3abf75eb,25,10.972,0,84,0,0,0,0,0
6404ef1f002ce88232249b054813f5e69165e696,0,6.232,0,0,0,0,0,0,0
a039b87192d05b4fdff1e5b7a9ec6eefec492c26,1,9.575,0,4,0,0,0,0,0
c450904fa31d36dc0cd89cb078394037588bd508,0,6.367,0,0,0,0,0,0,0
2af66c0fd889b912f805a316b2edb164714adaaa,15,16.441,0,68,0,0,6,0,0
ab5a7fc04e55c1ba1e879d87e30e03eccd2e1788,21,32.476,0,81,0,0,15,0,0
afd8e1a45fd65bdc17726da207ae051ef2ebdaab,41,37.947,0,85,0,0,30,0,0
1cf7dd622cdd23038aac27ac5cf750a5a23696b4,33,36.418,0,84,0,0,9,0,0
c27515849765549a845b271944cc2c950360878c,19,29.470,0,76,0,0,13,0,0
e4683d3cf5d5118f937a8306af9e3c5c6cc2c5c0,20,29.897,0,78,0,0,13,0,0
9a58e1c461f24c225d179d17e21b32c4a9b51ccf,20,29.170,0,76,0,0,13,0,0
661ba5c3813ce460b79a01e93adfec196d0e3289,11,25.138,0,73,0,0,0,0,0
sum,621,472.742,0,1111,0,195.208,210,0,0
arith_mean,38.81,23.64,0,69.44,0,27.89,17.50,0,0
geo_mean,22.91,19.26,0,55.79,0,27.13,14.94,0,0
