SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
c15ac3bc52c1012d5840dfe978dc7aff3cc8c715,160,38.191,0,8,48,2.432,2,0,0
123abd4a9d51219ed9cb737e215a085090a1c71f,0,6.262,0,1,1,1.969,0,0,0
691eca3cb969f73516ae147dfb4843bdab27c862,0,6.919,0,8,37,1.948,0,0,0
cbf359809c1dd4632fdb8bea44b754ce22b078b0,0,6.248,0,2,7,1.957,0,0,0
dd86998ad47d4a4994bec0e5515c38111fded3c8,160,5.805,0,3,14,2.004,0,0,0
b0d9cf8b6702c9ffc40dfffb65473b7534c21933,0,7.004,0,4,13,1.998,0,0,0
fa59cb6f7912fa61574a249a0c1da4942e31ae12,0,6.776,0,4,12,1.973,0,0,0
8f51ba028b59923c557c025f25d0f217baa6c08b,0,6.958,0,4,12,2.004,0,0,0
e80bf4132dabe4b36a420723b2ca06d8a87a3602,160,45.593,0,4,9,2.057,2,0,0
9d250e719c7a55f7ac482060bce018b9f89513c9,0,6.388,0,3,12,2.048,0,0,0
f0978e9dc2a3d70e0577285adfb8f24a1ba99a3c,0,5.098,0,0,0,2.062,0,0,0
d9b08d36d3d8495a3f28f623f3c669175d26dcdb,0,6.298,0,2,7,2.031,0,0,0
3554cf68751d09d41ff5e8d01b50dec720fa89d7,160,5.692,0,4,17,2.033,0,0,0
da5ac54c5d203b08e243fb9d5c0707cf44c05231,0,6.425,0,4,11,2.053,0,0,0
dcc00dc77d35cca48397ec1283c0b16895b1732f,0,7.009,0,8,31,2.085,0,0,0
e75d9fd017fc0afe81788de83b27d38fdbb62de6,160,48.293,0,4,12,2.133,3,0,0
e4bc6a4e1805c3c9549a7b74b0111482a7b216fa,0,6.869,0,3,7,2.179,0,0,0
10e00b065812c6e3ca0cf5628dfbd01751dea62c,0,6.597,0,8,20,2.143,0,0,0
f2f7cbb681140ac27c9981c97c8a2dd054ba5d88,0,5.288,0,0,0,2.162,0,0,0
3ae07cbb3d7b36ca3a57db95b71366c916c75693,0,7.387,0,17,53,2.173,0,0,0
sum,800,241.100,0,91,323,41.444,7,0,0
arith_mean,160.00,12.06,0,5.06,17.94,2.07,2.33,0,0
geo_mean,160.00,8.52,0,4.13,13.09,2.07,2.29,0,0
