SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
491d1077adf30de070728e4b73559668155f1a06,160,4.686,0,1,6,1.774,0,0,0
c28e9fe824c8110787c73deafb019bfe3b811035,160,6.592,0,16,117,2.595,0,0,0
c9aabc3600c04ca1bb858633fa8d137db3eb9429,35,6.104,0,22,124,2.194,0,0,0
58206912d6dc1edc5a3b9b9b91bbf29f694a86dd,28,6.005,0,24,114,2.206,0,0,0
b2e434bd303e2d374a57377c4e2127361feee23a,160,6.941,0,27,177,2.250,0,0,0
f3ddac37702567e1be686d9ce43328ab41b1a513,28,6.007,0,25,112,2.244,0,0,0
c337f13a9138decbcf629bbc1003004187223723,160,9.314,0,27,99,2.400,0,0,0
f874f9e8d012e84718555a67d10b243d3387ba52,0,5.322,0,32,154,2.836,0,0,0
3c8b437765a6ff4c068a08d4d158c409a2875cb8,0,5.330,0,29,137,2.882,0,0,0
d886bc15659706d9b78c17aeeb5237929f8c959c,26,11.850,0,35,155,2.876,0,0,0
14c1d8accc0fa7626d85d6d34134c7c8b953741d,21,11.095,0,27,110,2.834,0,0,0
1cf39d02e061dc1fb333d59feefd820022b972d8,4,6.775,0,24,98,2.821,0,0,0
ba6721c938805d2936ffc283d72f27c42b5eef6e,4,6.787,0,23,95,2.819,0,0,0
e3c96bbaf66c709ae831777e7a9eeb201f536566,4,6.786,0,24,164,2.850,0,0,0
e730aa8fc23d6933b2dc4bd249895718b028ab06,4,6.779,0,24,98,2.828,0,0,0
e6e0afa00185e5211451db7d3f5388f7a5f08bce,160,20.162,0,19,103,2.850,0,0,0
4ebd0515138afa6e3d7d7bee7a7d30309be90ddc,5,7.278,0,23,95,2.904,0,0,0
8b46b6d5ba4d9e56311c402f7d77d66b59220359,0,4.942,0,28,134,2.527,0,0,0
107ef340b7b4fc2004d53db072dc2af7fcecdd30,160,21.209,0,30,149,2.594,2,0,0
35029e6d18402bbcd31ecd8676f1d2a666471366,0,5.068,0,32,184,2.615,0,0,0
sum,1119,165.032,0,492,2425,51.899,2,0,0
arith_mean,69.94,8.25,0,24.60,121.25,2.59,2.00,0,0
geo_mean,29.46,7.44,0,21.63,106.86,2.57,2.00,0,0
