SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
beb456490aab88954c846cb31ffaf4212e387995,160,71.246,0,80,788,7.705,4,0,0
8a7d0ec477dce966830f315c8b4e70d7676d3718,0,9.814,0,13,63,7.013,0,0,0
2c7a4986827cb794a9cec3982de99976ebbb771e,27,39.990,0,39,367,6.981,3,0,0
ad5ae728c1dc296e74a480738b3a4473ebf13bc4,28,38.774,0,54,512,7.039,0,0,0
7716b6ffb4dc28a03470b50d27a98c8883f70f76,30,39.647,0,50,647,6.974,0,0,0
95175a7a907be4dd60f62e6fabf1242e33af93da,27,40.169,0,46,434,7.018,0,0,0
12cca7c57116e25ec93fef24dc024e4e8effd448,15,31.694,0,3,13,6.929,0,0,0
8591b5996aac1ce6c385a784ff6b7a1d61d6430c,1,13.097,0,3,8,7.000,0,0,0
d8c2e0683d348c33deffeb57846792c371c6e1c2,15,31.307,0,2,12,6.994,0,0,0
afcebefe261fe13c9aeac03bd7a0595f407588a5,24,39.584,0,39,376,6.991,2,0,0
03395a7ebbb9455a002a82ecaf53c85da0ba4be7,24,39.475,0,44,458,6.981,0,0,0
565124f83b7c48c60e769ef94ca2a36218bf6a76,15,32.100,0,46,476,6.967,3,0,0
8bf5209eb763dcf70e0728de373634c751eabb80,25,39.852,0,45,408,7.011,2,0,0
8536559ce22fe964b945763d74b8e264da105051,17,32.300,0,41,388,7.063,0,0,0
1a70ec45bb122651de65e1a93e5eae6ab0951e07,36,44.932,0,70,659,7.094,1,0,0
ef1dcb6a1da1d04e97130eb0048e798ab028bb4e,0,10.417,0,79,625,7.081,0,0,0
a69c7752709e4bc01b4fe54d03640d618bd8785d,26,34.819,0,42,369,7.002,0,0,0
1a81cd369f7d2477ef5792b4055a10a0bcf124ce,26,34.758,0,42,375,7.073,0,0,0
9da5157a8b9c1c668ce85b2baacc8e410d21c4c3,28,35.078,0,42,377,7.094,4,0,0
2a5452de27ab86040dd0f17f4fda371bea121599,28,35.110,0,42,384,7.004,4,0,0
sum,552,694.163,0,822,7739,141.014,23,0,0
arith_mean,30.67,34.71,0,41.10,386.95,7.05,2.88,0,0
geo_mean,22.07,31.64,0,29.36,238.34,7.05,2.63,0,0
