SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
beb456490aab88954c846cb31ffaf4212e387995,160,70.151,0,80,788,7.705,4,0,0
8a7d0ec477dce966830f315c8b4e70d7676d3718,27,37.209,0,13,63,7.013,0,0,0
2c7a4986827cb794a9cec3982de99976ebbb771e,46,45.522,0,39,367,6.981,3,0,0
ad5ae728c1dc296e74a480738b3a4473ebf13bc4,42,44.640,0,39,401,7.039,2,0,0
7716b6ffb4dc28a03470b50d27a98c8883f70f76,47,46.004,0,45,544,6.974,3,0,0
95175a7a907be4dd60f62e6fabf1242e33af93da,47,45.470,0,38,377,7.018,2,0,0
12cca7c57116e25ec93fef24dc024e4e8effd448,27,39.987,0,3,13,6.929,0,0,0
8591b5996aac1ce6c385a784ff6b7a1d61d6430c,27,39.833,0,3,8,7.000,0,0,0
d8c2e0683d348c33deffeb57846792c371c6e1c2,18,32.066,0,2,12,6.994,0,0,0
afcebefe261fe13c9aeac03bd7a0595f407588a5,41,45.139,0,25,256,6.991,2,0,0
03395a7ebbb9455a002a82ecaf53c85da0ba4be7,41,44.869,0,34,309,6.981,0,0,0
565124f83b7c48c60e769ef94ca2a36218bf6a76,47,45.198,0,46,476,6.967,3,0,0
8bf5209eb763dcf70e0728de373634c751eabb80,47,46.055,0,45,408,7.011,2,0,0
8536559ce22fe964b945763d74b8e264da105051,41,44.874,0,31,270,7.063,0,0,0
1a70ec45bb122651de65e1a93e5eae6ab0951e07,47,45.588,0,54,555,7.094,3,0,0
ef1dcb6a1da1d04e97130eb0048e798ab028bb4e,40,44.289,0,21,86,7.081,0,0,0
a69c7752709e4bc01b4fe54d03640d618bd8785d,49,46.758,0,42,369,7.002,2,0,0
1a81cd369f7d2477ef5792b4055a10a0bcf124ce,49,46.893,0,42,375,7.073,2,0,0
9da5157a8b9c1c668ce85b2baacc8e410d21c4c3,51,47.188,0,42,377,7.094,6,0,0
2a5452de27ab86040dd0f17f4fda371bea121599,51,47.340,0,42,384,7.004,6,0,0
sum,945,905.073,0,686,6438,141.014,40,0,0
arith_mean,47.25,45.25,0,34.30,321.90,7.05,3.08,0,0
geo_mean,42.83,44.80,0,25.04,196.57,7.05,2.83,0,0
