SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
181e276c75b4f462f61b6da22d27b00f9cc33f07,0,51.649,0,0,0,3.782,3,0,0
161f2f7f90a8784f4b0b11e4e139b93af10fdb0a,0,-14.922,0,0,0,3.213,5,0,0
c8604865909de5e56c16ecb7bbecd379321056fb,0,53.787,0,0,0,3.206,5,0,0
44ee9f4f1f3d49780f88ef74ec7aa501e3eb2d89,0,54.674,0,0,0,3.242,5,0,0
40f8adc677d2155262cbad6e1771833c2ad33e4f,0,54.538,0,0,0,4.213,5,0,0
1a881c5da7e341ba0530640499800b20ddd8067a,0,55.394,0,0,0,4.184,5,0,0
1429119c504bb39eb00254d80008e7df5e388319,0,55.078,0,0,0,4.190,5,0,0
bcb9b9dade3967f316039dcd2b8ae53ef9a2a228,0,53.994,0,0,0,0,5,0,0
a969ad768d29b8c801b26bc8cb6e7e9b542bc3c6,0,55.349,0,0,0,0,5,0,0
504355da6964993e83d7847d68eab721a7075a32,0,54.623,0,0,0,0,5,0,0
c3d45b0628c7149325dd31a6911894cd19af4438,0,55.657,0,0,0,0,5,0,0
db2fa94642f64862cc877059e5e93ae8fc88fc9a,0,61.442,0,0,0,0,5,0,0
b96db214d7bd87a3d372a7ea7b491dd673ba7673,0,62.342,0,0,0,0,5,0,0
4347d703e9e05f23154ea64d06f666efedce2724,0,104.712,0,0,0,0,7,0,0
89d3e75da1ccdf609fbcb52fe962185c711cdb46,0,102.395,0,0,0,0,7,0,0
016bf1c053fcd0fd93e3a6b2d1921db5eee24b65,0,102.414,0,0,0,0,7,0,0
ae4b199253e0dc26f73014ea8a10212c7cb4c723,0,128.434,0,0,0,0,14,0,0
4ac69238df839ba8cab8be3996372ab92ba0f6fe,0,124.625,0,0,0,0,14,0,0
59a3f6ef3a753c16b39ca722214f7af42d842741,0,124.821,0,0,0,0,14,0,0
96b0e3548081d16cea6736c756eb806a5ddbcfad,0,139.624,0,0,0,0,14,0,0
sum,0,1480.630,0,0,0,26.030,140,0,0
arith_mean,0,78.71,0,0,0,3.72,7.00,0,0
geo_mean,0,73.24,0,0,0,3.69,6.30,0,0
