SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
181e276c75b4f462f61b6da22d27b00f9cc33f07,160,55.656,49,49,0,3.782,3,0,0
161f2f7f90a8784f4b0b11e4e139b93af10fdb0a,0,8.573,49,38,0,3.213,0,0,0
c8604865909de5e56c16ecb7bbecd379321056fb,2,11.606,51,40,0,3.206,0,0,0
44ee9f4f1f3d49780f88ef74ec7aa501e3eb2d89,3,10.085,51,36,0,3.242,0,0,0
40f8adc677d2155262cbad6e1771833c2ad33e4f,3,11.093,52,37,0,4.213,0,0,0
1a881c5da7e341ba0530640499800b20ddd8067a,3,12.288,52,40,0,4.184,0,0,0
1429119c504bb39eb00254d80008e7df5e388319,16,8.849,52,9,0,4.190,0,0,0
bcb9b9dade3967f316039dcd2b8ae53ef9a2a228,16,8.870,52,9,0,0,0,0,0
a969ad768d29b8c801b26bc8cb6e7e9b542bc3c6,3,12.363,55,43,0,0,0,0,0
504355da6964993e83d7847d68eab721a7075a32,160,54.572,58,43,0,0,3,0,0
c3d45b0628c7149325dd31a6911894cd19af4438,160,55.855,81,49,0,0,3,0,0
db2fa94642f64862cc877059e5e93ae8fc88fc9a,160,29.198,60,45,0,0,1,0,0
b96db214d7bd87a3d372a7ea7b491dd673ba7673,37,22.860,61,45,0,0,1,0,0
4347d703e9e05f23154ea64d06f666efedce2724,160,104.463,64,51,0,0,5,0,0
89d3e75da1ccdf609fbcb52fe962185c711cdb46,37,60.962,65,50,0,0,5,0,0
016bf1c053fcd0fd93e3a6b2d1921db5eee24b65,37,61.033,63,50,0,0,5,0,0
ae4b199253e0dc26f73014ea8a10212c7cb4c723,160,126.979,64,59,0,0,12,0,0
4ac69238df839ba8cab8be3996372ab92ba0f6fe,37,61.246,67,51,0,0,5,0,0
59a3f6ef3a753c16b39ca722214f7af42d842741,4,12.838,65,4,0,0,0,0,0
96b0e3548081d16cea6736c756eb806a5ddbcfad,37,65.777,70,54,0,0,5,0,0
sum,1195,795.166,1181,802,0,26.030,48,0,0
arith_mean,62.89,39.76,59.05,40.10,0,3.72,4.36,0,0
geo_mean,24.18,26.87,58.51,34.23,0,3.69,3.52,0,0
