SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
8a413067f0fa1fca5392740a538fd8b1276ba213,160,10.075,0,6,48,2.341,2,0,0
499f55f335ef36842d44b966416031fcc606a5d1,0,8.766,0,0,0,1.992,2,0,0
f359660f971aee4003b539bcd7cf0161974f8221,160,12.695,0,22,172,2.830,4,0,0
e57507a2d2a55a073e49c34ba66079fe554e68eb,37,10.769,0,22,174,2.556,2,0,0
0dbc32a2f0894cb6e0ebb47345f0c93e81098ea2,3,8.304,0,23,154,2.592,0,0,0
4ec60c869b56723e941f9eb5ecdabbd7535aad94,18,9.525,0,22,151,2.621,0,0,0
39da7e02834096d3a4cfbc3e5236de4d4bad9fd8,160,45.214,0,25,162,3.179,4,0,0
75c9556e4432afe896daeff3b73f299438eec8c7,16,22.787,0,5,35,2.785,0,0,0
8935f9939efc31b3acb874802dbd9e08306afd66,3,10.620,0,5,38,2.791,0,0,0
43624aa653b30d7667b25c37fa7e2de5f09acd8a,8,14.079,0,24,156,2.839,0,0,0
365758463762f2e9b83aa27e1df877d11797731c,6,10.944,0,13,86,2.784,0,0,0
81791cbd50aff62a7254c3ff9cb1657a05e7d7db,17,24.507,0,7,52,2.884,0,0,0
e68ff53de73d6cdc14e54d87878d39302f4b6c09,20,24.861,0,28,191,2.835,2,0,0
3205f39ced771f4068dd36cfda78dc42dc3be65d,160,71.703,0,3,15,3.723,4,0,0
618eea344c257e82ca132b1954f73abd717e9f30,160,72.390,0,6,46,3.863,4,0,0
b610826f6f0363caac0413fbf6bef48b4100612d,160,89.757,0,3,10,3.583,4,0,0
cc815143e2bbcee8a4481baa6a803ea57b9b63ab,160,-68.304,0,3,10,3.546,4,0,0
32e4a6ffaa7a02592e8b9623d67e284e67a6a451,160,-52.395,0,28,162,3.116,4,0,0
sum,1408,326.297,0,245,1662,52.860,36,0,0
arith_mean,82.82,27.94,0,14.41,97.76,2.94,3.27,0,0
geo_mean,37.85,19.55,0,10.57,66.88,2.90,3.11,0,0
