SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
8a413067f0fa1fca5392740a538fd8b1276ba213,0,6.268,0,0,0,2.341,2,0,0
499f55f335ef36842d44b966416031fcc606a5d1,0,5.443,0,0,0,1.992,2,0,0
f359660f971aee4003b539bcd7cf0161974f8221,0,9.425,0,0,0,2.830,2,0,0
e57507a2d2a55a073e49c34ba66079fe554e68eb,0,8.481,0,0,0,2.556,2,0,0
0dbc32a2f0894cb6e0ebb47345f0c93e81098ea2,0,7.967,0,0,0,2.592,2,0,0
4ec60c869b56723e941f9eb5ecdabbd7535aad94,0,7.975,0,0,0,2.621,2,0,0
39da7e02834096d3a4cfbc3e5236de4d4bad9fd8,0,48.113,0,0,0,3.179,2,0,0
75c9556e4432afe896daeff3b73f299438eec8c7,0,9.014,0,0,0,2.785,2,0,0
8935f9939efc31b3acb874802dbd9e08306afd66,0,7.929,0,0,0,2.791,2,0,0
43624aa653b30d7667b25c37fa7e2de5f09acd8a,0,46.099,0,0,0,2.839,2,0,0
365758463762f2e9b83aa27e1df877d11797731c,0,4.093,0,0,0,2.784,4,0,0
81791cbd50aff62a7254c3ff9cb1657a05e7d7db,0,4.115,0,0,0,2.884,4,0,0
e68ff53de73d6cdc14e54d87878d39302f4b6c09,0,45.852,0,0,0,2.835,2,0,0
3205f39ced771f4068dd36cfda78dc42dc3be65d,0,47.894,0,0,0,3.723,2,0,0
618eea344c257e82ca132b1954f73abd717e9f30,0,44.480,0,0,0,3.863,2,0,0
b610826f6f0363caac0413fbf6bef48b4100612d,0,100.298,0,0,0,3.583,2,0,0
cc815143e2bbcee8a4481baa6a803ea57b9b63ab,0,-46.475,0,0,0,3.546,0,0,0
32e4a6ffaa7a02592e8b9623d67e284e67a6a451,,0,,,,3.116,0,,
sum,,356.971,,,,52.860,36,,
arith_mean,0,25.22,0,0,0,2.94,2.25,0,0
geo_mean,0,14.66,0,0,0,2.90,2.18,0,0
