SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
217e6001,0,100.000,0,0,0,10.542,4,0,0
3e69d214,0,99.991,0,0,0,9.960,4,0,0
7b78f286,0,106.927,0,0,0,10.154,4,0,0
0c9f308d,0,100.878,0,0,0,10.378,4,0,0
0af2a93d,0,99.453,0,0,0,9.932,4,0,0
e9fb3765,0,99.153,0,0,0,10.091,4,0,0
336c3606,0,106.181,0,0,0,10.003,4,0,0
b2359669,0,2.993,0,0,0,10.061,0,0,0
3c3cacae,0,99.269,0,0,0,10.022,4,0,0
f644d2aa,0,487.712,0,0,0,53.095,4,0,0
9bde2024,0,99.628,0,0,0,10.384,4,0,0
1e2f159b,0,104.338,0,0,0,10.469,6,0,0
0092942a,0,113.107,0,0,0,10.633,6,0,0
99c4d396,0,3.166,0,0,0,10.872,6,0,0
8f4fce7f,0,3.122,0,0,0,10.721,0,0,0
84d3184d,0,102.710,0,0,0,11.033,6,0,0
940d5723,0,109.572,0,0,0,11.216,6,0,0
7d262a11,0,3.314,0,0,0,10.751,6,0,0
sum,0,1841.514,0,0,0,230.317,76,0,0
arith_mean,0,102.31,0,0,0,12.80,4.75,0,0
geo_mean,0,51.75,0,0,0,11.40,4.66,0,0
