SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
217e6001,0,101.885,0,0,0,10.542,4,0,0
3e69d214,0,101.734,0,0,0,9.960,0,0,0
7b78f286,0,100.559,0,0,0,10.154,0,0,0
0c9f308d,0,102.117,0,0,0,10.378,0,0,0
0af2a93d,0,102.602,0,0,0,9.932,0,0,0
e9fb3765,0,107.014,0,0,0,10.091,0,0,0
336c3606,0,103.754,0,0,0,10.003,0,0,0
b2359669,0,106.835,0,0,0,10.061,0,0,0
3c3cacae,0,106.840,0,0,0,10.022,0,0,0
f644d2aa,0,468.514,0,0,0,53.095,0,0,0
9bde2024,0,102.534,0,0,0,10.384,0,0,0
1e2f159b,0,99.181,0,0,0,10.469,2,0,0
0092942a,0,99.892,0,0,0,10.633,0,0,0
99c4d396,0,106.698,0,0,0,10.872,0,0,0
8f4fce7f,0,102.507,0,0,0,10.721,0,0,0
84d3184d,0,101.692,0,0,0,11.033,0,0,0
940d5723,0,113.253,0,0,0,11.216,0,0,0
7d262a11,0,105.642,0,0,0,10.751,0,0,0
sum,0,2233.253,0,0,0,230.317,6,0,0
arith_mean,0,124.07,0,0,0,12.80,3.00,0,0
geo_mean,0,112.82,0,0,0,11.40,2.83,0,0
