SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
3fe584867a08a3bddc123066d23d961e9e5d237f,160,19.612,0,48,0,3.064,2,0,0
d3849b8167a2426a3036113c24a6b6358e1d183a,24,11.133,0,27,0,2.511,0,0,0
5931b168859aa25949b953f3e08b377612c78d67,1,9.758,0,27,0,2.553,0,0,0
29037c82dab332ce918f842f71ceb8f4ce424bd2,160,15.116,0,32,0,2.602,2,0,0
78cf2eb3cf151fef35a36285bd2a006894c1d417,160,15.944,0,32,0,2.551,2,0,0
59a7d4cee47e0f6450f9035100ae1bca9408ee27,0,7.657,0,6,0,2.552,0,0,0
b512db9c66ab1269d90471f106b37c11e8213480,0,5.204,0,0,0,2.524,2,0,0
771db7342b1ae2a9a8f44f9ef8488cb37e927599,0,5.644,0,0,0,2.671,2,0,0
51a74f47d08beda645d114cf476aaf796cba7b6c,0,5.478,0,0,0,2.559,2,0,0
9d1c81a15b732ed440253f8b69a67b9529149db7,0,15.500,0,0,0,2.547,2,0,0
7c3061bb186d73b51dc91bd335018c46e761034b,0,5.208,0,0,0,2.559,2,0,0
be29c4d9ef7acb83a8701c1e02d84e590d40de68,0,7.752,0,12,0,2.514,0,0,0
b33fea213e256761d57fc09a4ef4943b6d3c660c,0,5.492,0,0,0,2.666,2,0,0
019fafa4ae7162096fcb22ac9739df6d88268fd6,0,5.413,0,0,0,2.716,2,0,0
2427889aa9bc96496f626bb21c4020e73c9d71d4,3,8.112,0,32,0,2.543,0,0,0
sum,508,143.023,0,216,0,39.132,20,0,0
arith_mean,84.67,9.53,0,27.00,0,2.61,2.00,0,0
geo_mean,25.80,8.55,0,23.15,0,2.61,2.00,0,0
