SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
3bd8ed41,160,381.111,0,264,1793,10.319,17,0,0
178499b7,160,389.732,0,235,1804,0,17,0,0
da0e3818,0,4.875,0,0,0,0,0,0,0
0bb151bd,160,383.719,0,236,1801,0,17,0,0
d9a36694,0,17.581,0,237,1803,0,0,0,0
7a7857d3,0,4.918,0,0,0,0,0,0,0
7eacf941,0,4.909,0,0,0,0,0,0,0
96c86839,0,4.933,0,0,0,0,0,0,0
e0889828,0,4.831,0,0,0,0,0,0,0
15d37ce8,4,16.685,0,1,8,0,0,0,0
d370ef22,2,16.835,0,6,66,0,0,0,0
828f8449,27,404.057,0,251,2003,0,0,0,0
4b4c7487,41,423.379,0,250,1934,0,1,0,0
d50636f0,0,19.165,0,245,1887,0,0,0,0
f6aa774e,30,132.098,0,247,1862,0,1,0,0
d799a280,39,426.478,0,254,2031,0,8,0,0
861e6862,0,4.941,0,0,0,0,0,0,0
a762da6f,30,140.574,0,241,1827,0,1,0,0
a1ffef16,2,23.502,0,251,1946,0,0,0,0
b3f0d8fc,19,145.644,0,250,1908,0,0,0,0
sum,674,2949.967,0,2968,22673,10.319,62,0,0
arith_mean,56.17,147.50,0,212.00,1619.50,10.32,8.86,0,0
geo_mean,24.57,42.36,0,127.61,1002.80,10.32,4.53,0,0
