SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
3bd8ed41,0,359.393,0,0,0,10.319,17,0,0
178499b7,,0,,,,0,0,,
da0e3818,,0,,,,0,0,,
0bb151bd,,0,,,,0,0,,
d9a36694,,0,,,,0,0,,
7a7857d3,,0,,,,0,0,,
7eacf941,,0,,,,0,0,,
96c86839,,0,,,,0,0,,
e0889828,,0,,,,0,0,,
15d37ce8,,0,,,,0,0,,
d370ef22,,0,,,,0,0,,
828f8449,,0,,,,0,0,,
4b4c7487,,0,,,,0,0,,
d50636f0,,0,,,,0,0,,
f6aa774e,,0,,,,0,0,,
d799a280,,0,,,,0,0,,
861e6862,,0,,,,0,0,,
a762da6f,,0,,,,0,0,,
a1ffef16,,0,,,,0,0,,
b3f0d8fc,,0,,,,0,0,,
sum,,359.393,,,,10.319,17,,
arith_mean,0,359.39,0,0,0,10.32,17.00,0,0
geo_mean,0,359.39,0,0,0,10.32,17.00,0,0
