SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
54783e78,160,536.758,26,26,0,0,4,0,0
8d69c155,0,5.291,26,0,0,0,0,0,0
77b02e2d,35,192.400,28,9,0,0,0,0,0
4960b46c,18,9.316,26,2,0,0,0,0,0
78fc1d11,35,20.519,29,24,0,0,0,0,0
6f7fca41,160,20.423,34,22,0,0,0,0,0
4be3bb81,0,5.589,33,0,0,0,0,0,0
04729fec,19,9.996,44,17,0,0,0,0,0
5320774e,38,12.221,48,25,0,0,0,0,0
ec20f258,3,9.874,45,3,0,0,0,0,0
93b67534,0,6.161,45,0,0,0,0,0,0
754f4eef,160,22.785,68,54,0,0,0,0,0
e588a0a1,29,10.580,61,19,0,0,0,0,0
64961b16,4,9.720,60,1,0,0,0,0,0
d97a554b,37,14.435,72,47,0,0,0,0,0
077d2213,43,17.700,74,56,0,0,0,0,0
bcc0f708,37,12.276,74,24,0,0,0,0,0
298774c7,0,6.623,74,0,0,0,0,0,0
c82a1004,37,11.750,79,29,0,0,0,0,0
0dedb503,39,17.933,80,40,0,0,0,0,0
sum,854,952.350,1026,398,0,0,4,0,0
arith_mean,53.38,47.62,51.30,24.88,0,0,4.00,0,0
geo_mean,32.95,15.77,47.30,16.25,0,0,4.00,0,0
