SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
54783e78,160,602.295,0,25,84,0,6,0,0
8d69c155,0,5.682,0,0,0,0,0,0,0
77b02e2d,35,280.956,0,8,33,0,0,0,0
4960b46c,18,9.039,0,2,8,0,0,0,0
78fc1d11,35,20.054,0,17,68,0,0,0,0
6f7fca41,160,20.651,0,18,72,0,2,0,0
4be3bb81,0,6.103,0,0,0,0,0,0,0
04729fec,19,10.484,0,16,60,0,0,0,0
5320774e,29,10.259,0,16,63,0,0,0,0
ec20f258,3,9.888,0,3,15,0,0,0,0
93b67534,0,6.597,0,0,0,0,0,0,0
754f4eef,160,22.145,0,46,233,0,2,0,0
e588a0a1,27,10.381,0,17,72,0,0,0,0
64961b16,4,10.608,0,1,2,0,0,0,0
d97a554b,35,12.922,0,32,127,0,0,0,0
077d2213,42,17.113,0,26,118,0,0,0,0
bcc0f708,34,12.185,0,13,29,0,0,0,0
298774c7,0,6.830,0,0,0,0,0,0,0
c82a1004,34,12.801,0,20,97,0,0,0,0
0dedb503,35,13.226,0,24,125,0,0,0,0
sum,830,1100.219,0,284,1206,0,10,0,0
arith_mean,51.88,55.01,0,17.75,75.38,0,3.33,0,0
geo_mean,31.54,15.97,0,12.56,48.96,0,2.88,0,0
