SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
54783e78,160,549.633,26,26,0,0,4,0,0
8d69c155,0,5.154,26,0,0,0,0,0,0
77b02e2d,35,198.014,28,9,0,0,0,0,0
4960b46c,18,8.153,26,2,0,0,0,0,0
78fc1d11,35,21.852,29,24,0,0,0,0,0
6f7fca41,160,19.346,34,22,0,0,0,0,0
4be3bb81,0,5.378,33,0,0,0,0,0,0
04729fec,19,10.426,44,17,0,0,0,0,0
5320774e,38,11.837,48,25,0,0,0,0,0
ec20f258,3,10.120,45,3,0,0,0,0,0
93b67534,0,6.089,45,0,0,0,0,0,0
754f4eef,160,22.003,68,54,0,0,0,0,0
e588a0a1,29,9.646,61,19,0,0,0,0,0
64961b16,4,10.609,60,1,0,0,0,0,0
d97a554b,37,14.634,72,47,0,0,0,0,0
077d2213,43,17.950,74,56,0,0,0,0,0
bcc0f708,37,13.666,74,24,0,0,0,0,0
298774c7,0,6.181,74,0,0,0,0,0,0
c82a1004,37,12.929,79,29,0,0,0,0,0
0dedb503,39,16.241,80,40,0,0,0,0,0
sum,854,969.861,1026,398,0,0,4,0,0
arith_mean,53.38,48.49,51.30,24.88,0,0,4.00,0,0
geo_mean,32.95,15.70,47.30,16.25,0,0,4.00,0,0
