SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
54783e78,160,388.401,0,26,0,15.996,4,0,0
8d69c155,0,2.878,0,0,0,13.178,0,0,0
77b02e2d,35,167.765,0,9,0,13.367,0,0,0
4960b46c,0,2.849,0,0,0,2.330,0,0,0
78fc1d11,35,8.485,0,16,0,2.432,0,0,0
6f7fca41,160,12.761,0,14,0,2.354,0,0,0
4be3bb81,0,3.055,0,0,0,2.388,0,0,0
04729fec,19,5.887,0,17,0,2.343,0,0,0
5320774e,29,6.214,0,15,0,2.348,0,0,0
ec20f258,3,5.888,0,2,0,2.379,0,0,0
93b67534,0,2.961,0,0,0,2.406,0,0,0
754f4eef,160,14.751,0,41,0,2.446,0,0,0
e588a0a1,29,6.401,0,19,0,2.483,0,0,0
64961b16,4,5.813,0,1,0,2.571,0,0,0
d97a554b,37,7.684,0,47,0,2.507,0,0,0
077d2213,43,11.796,0,56,0,2.869,0,0,0
bcc0f708,37,7.472,0,24,0,2.861,0,0,0
298774c7,0,3.086,0,0,0,2.868,0,0,0
c82a1004,37,7.532,0,29,0,2.823,0,0,0
0dedb503,38,8.325,0,33,0,2.907,0,0,0
sum,826,680.004,0,349,0,85.856,4,0,0
arith_mean,55.07,34.00,0,23.27,0,4.29,4.00,0,0
geo_mean,33.63,8.82,0,16.09,0,3.28,4.00,0,0
