SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
54783e78,160,697.856,26,26,0,0,4,0,0
8d69c155,0,6.738,26,0,0,0,0,0,0
77b02e2d,35,215.617,28,9,0,0,0,0,0
4960b46c,18,9.278,26,2,0,0,0,0,0
78fc1d11,35,15.964,29,24,0,0,0,0,0
6f7fca41,160,16.121,34,22,0,0,0,0,0
4be3bb81,0,6.356,33,0,0,0,0,0,0
04729fec,19,10.632,44,17,0,0,0,0,0
5320774e,38,11.675,48,25,0,0,0,0,0
ec20f258,3,10.208,45,3,0,0,0,0,0
93b67534,0,6.617,45,0,0,0,0,0,0
754f4eef,160,19.663,68,54,0,0,0,0,0
e588a0a1,29,11.225,61,19,0,0,0,0,0
64961b16,4,9.614,60,1,0,0,0,0,0
d97a554b,37,12.736,72,47,0,0,0,0,0
077d2213,43,15.118,74,56,0,0,0,0,0
bcc0f708,37,13.108,74,24,0,0,0,0,0
298774c7,0,7.138,74,0,0,0,0,0,0
c82a1004,37,12.301,79,29,0,0,0,0,0
0dedb503,39,14.591,80,40,0,0,0,0,0
sum,854,1122.556,1026,398,0,0,4,0,0
arith_mean,53.38,56.13,51.30,24.88,0,0,4.00,0,0
geo_mean,32.95,15.75,47.30,16.25,0,0,4.00,0,0
