SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
54783e78,160,436.569,0,25,84,0,4,0,0
8d69c155,0,6.515,0,0,0,0,0,0,0
77b02e2d,35,199.151,0,8,33,0,0,0,0
4960b46c,18,9.130,0,2,8,0,0,0,0
78fc1d11,35,15.084,0,17,68,0,0,0,0
6f7fca41,160,16.152,0,18,72,0,0,0,0
4be3bb81,0,6.718,0,0,0,0,0,0,0
04729fec,19,10.123,0,16,60,0,0,0,0
5320774e,29,10.919,0,16,63,0,0,0,0
ec20f258,3,10.710,0,3,15,0,0,0,0
93b67534,0,7.137,0,0,0,0,0,0,0
754f4eef,160,18.938,0,46,233,0,0,0,0
e588a0a1,27,11.248,0,17,72,0,0,0,0
64961b16,4,10.987,0,1,2,0,0,0,0
d97a554b,35,13.404,0,32,127,0,0,0,0
077d2213,42,14.693,0,26,118,0,0,0,0
bcc0f708,34,12.146,0,13,29,0,0,0,0
298774c7,0,7.463,0,0,0,0,0,0,0
c82a1004,34,13.210,0,20,97,0,0,0,0
0dedb503,35,13.460,0,24,125,0,0,0,0
sum,830,843.757,0,284,1206,0,4,0,0
arith_mean,51.88,42.19,0,17.75,75.38,0,4.00,0,0
geo_mean,31.54,15.36,0,12.56,48.96,0,4.00,0,0
