SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
0f575248,160,13.634,0,14,55,0,2,0,0
f403aa4b,0,5.446,0,0,0,0,0,0,0
4e169da8,160,14.072,0,9,33,0,2,0,0
98374a1d,2,9.179,0,6,13,0,0,0,0
0f9d2bec,160,13.763,0,5,13,0,2,0,0
81d13994,12,9.236,0,6,18,0,0,0,0
fa9348d5,160,12.373,0,8,46,0,2,0,0
2128d6c7,27,10.899,0,20,64,0,0,0,0
579a98c6,26,11.004,0,16,46,0,0,0,0
e1af5864,0,5.890,0,0,0,0,0,0,0
3c41f4e6,3,9.506,0,11,34,0,0,0,0
dcd15522,0,9.213,0,2,3,0,0,0,0
98a58450,160,16.019,0,18,50,0,2,0,0
0dd5fb28,160,13.566,0,2,4,0,2,0,0
376aa7df,0,8.454,0,1,1,0,0,0,0
f45cb0be,160,14.587,0,19,71,0,2,0,0
09f827e2,0,6.285,0,0,0,0,0,0,0
8b4d0d45,22,10.827,0,21,68,0,0,0,0
57822a00,160,18.146,0,2,8,0,2,0,0
b75e47ab,0,9.076,0,1,1,0,0,0,0
sum,1372,221.175,0,161,528,0,16,0,0
arith_mean,98.00,11.06,0,9.47,31.06,0,2.00,0,0
geo_mean,49.13,10.53,0,6.28,16.66,0,2.00,0,0
