SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
0f575248,160,13.285,14,14,0,0,0,0,0
f403aa4b,0,5.546,14,0,0,0,0,0,0
4e169da8,160,12.132,15,9,0,0,0,0,0
98374a1d,34,9.725,15,6,0,0,0,0,0
0f9d2bec,160,12.594,18,13,0,0,0,0,0
81d13994,39,9.744,22,12,0,0,0,0,0
fa9348d5,160,12.502,26,9,0,0,0,0,0
2128d6c7,39,10.975,38,26,0,0,0,0,0
579a98c6,40,10.410,40,33,0,0,0,0,0
e1af5864,0,6.029,40,0,0,0,0,0,0
3c41f4e6,39,10.454,41,29,0,0,0,0,0
dcd15522,34,10.178,42,12,0,0,0,0,0
98a58450,160,13.839,44,34,0,0,0,0,0
0dd5fb28,160,13.415,43,2,0,0,0,0,0
376aa7df,0,9.112,43,1,0,0,0,0,0
f45cb0be,160,14.955,51,33,0,0,0,0,0
09f827e2,0,6.284,46,0,0,0,0,0,0
8b4d0d45,26,10.656,58,23,0,0,0,0,0
57822a00,160,14.863,59,12,0,0,0,0,0
b75e47ab,0,9.651,59,1,0,0,0,0,0
sum,1531,216.349,728,269,0,0,0,0,0
arith_mean,102.07,10.82,36.40,15.82,0,0,0,0,0
geo_mean,79.26,10.44,32.59,10.40,0,0,0,0,0
