SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
0f575248,0,7.733,0,0,0,0,0,0,0
f403aa4b,0,3.093,0,0,0,0,0,0,0
4e169da8,0,7.449,0,0,0,0,0,0,0
98374a1d,0,8.246,0,0,0,0,0,0,0
0f9d2bec,0,8.172,0,0,0,0,0,0,0
81d13994,0,7.620,0,0,0,0,0,0,0
fa9348d5,0,7.172,0,0,0,0,0,0,0
2128d6c7,0,8.391,0,0,0,0,0,0,0
579a98c6,0,7.751,0,0,0,0,0,0,0
e1af5864,0,2.963,0,0,0,0,0,0,0
3c41f4e6,0,8.025,0,0,0,0,0,0,0
dcd15522,0,8.673,0,0,0,0,0,0,0
98a58450,0,8.783,0,0,0,0,0,0,0
0dd5fb28,0,8.508,0,0,0,0,0,0,0
376aa7df,0,8.230,0,0,0,0,0,0,0
f45cb0be,0,9.851,0,0,0,0,0,0,0
09f827e2,0,3.169,0,0,0,0,0,0,0
8b4d0d45,0,11.371,0,0,0,0,0,0,0
57822a00,0,8.730,0,0,0,0,0,0,0
b75e47ab,0,8.994,0,0,0,0,0,0,0
sum,0,152.924,0,0,0,0,0,0,0
arith_mean,0,7.65,0,0,0,0,0,0,0
geo_mean,0,7.23,0,0,0,0,0,0,0
