SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
fd7232206d6eddb19da1eefd3163e28392652706,0,70.675,0,0,0,4.790,48,0,0
e866c2c822cc73ae0726a1ab035aca850739ee26,0,68.139,0,0,0,4.274,0,0,0
783caf7c448142fb9fd044e849ebba3c8af7564d,0,67.908,0,0,0,4.553,0,0,0
fabc0a73fb216922607afd377e2bb686dd1d265f,0,68.820,0,0,0,4.292,0,0,0
a6696849b3dc766d5ccbf0d6c66f24ee6dfeaccd,0,68.158,0,0,0,4.265,1,0,0
0a9b673a204e46dfd02ea8a45ad64660da8e37b4,0,67.679,0,0,0,4.325,0,0,0
4aeb92f4e5417e0602a644d8970f28e0753e5c77,0,67.268,0,0,0,4.337,0,0,0
7a7327a72bb2f291fcda307fd4aa674fbb22eb73,0,68.254,0,0,0,4.362,0,0,0
7c0fd98f5b15c7fd9e2273238946d75e22dca8ff,0,75.144,0,0,0,9.027,0,0,0
fafa343c95af2c30b759c5b8b9a929933d37bf8a,0,74.734,0,0,0,7.965,0,0,0
495bfc332ca29172b4e1c3d54a46abc542197642,0,73.043,0,0,0,9.736,0,0,0
cd8f8151ae8c22ea48dd4008e8169977ff4b0d5d,0,75.980,0,0,0,7.520,0,0,0
8e73360922f4b1d061784b7bd358bd2117b261cc,0,73.423,0,0,0,9.469,0,0,0
e2b0371ed4980a90ee891f2a0a6874668994af5c,0,75.231,0,0,0,9.568,0,0,0
bf89589c6c83c726c96533f33a1d4add276880e3,0,80.822,0,0,0,7.487,1,0,0
0923aad7226e0862eee546c3823b980b90da40e3,0,77.316,0,0,0,9.733,0,0,0
b3fee4a8060fbdca5936d19cff472a706e8e2af9,0,77.932,0,0,0,6.952,0,0,0
0a26188663a447baae8f8261a01670557332795e,0,76.053,0,0,0,8.991,0,0,0
244564c8e77bc87dedfc230cf053bd6a0d7d9e4b,0,77.487,0,0,0,8.342,0,0,0
194f57e4610b3eb9b8af0b7a21a9f46097d0b2f2,0,74.494,0,0,0,8.568,0,0,0
sum,0,1458.560,0,0,0,138.556,50,0,0
arith_mean,0,72.93,0,0,0,6.93,16.67,0,0
geo_mean,0,72.81,0,0,0,6.56,3.63,0,0
