SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
2bd1ad90f5d89ac15698b385ebcab8c8be152f5f,160,61.115,127,127,0,6.272,26,0,0
afb1e40cafbd906a4546ce0ee0074b08512d14c0,55,10.127,127,5,0,4.368,0,0,0
db5c93e9782ef6cbd44d1e9e6e041b299853e002,65,20.504,128,64,0,4.350,17,0,0
333c9f2293cbe97212b8fabcc9a3bc219232e78b,17,8.516,129,2,0,4.394,0,0,0
49576b5f522497d03be09eb33f4f941005a901da,39,14.137,129,21,0,4.345,1,0,0
9958526ed2b81f0a7fe7b5156903f6d86e936d16,39,14.150,129,21,0,4.319,1,0,0
ecec4f853f36df390e9f6dd61fea80eea9a32be0,65,21.615,130,74,0,4.365,17,0,0
4d71eb2effe2ce267883ef93769953cb7774632e,39,14.309,130,21,0,4.330,1,0,0
8990dc2c302f60eb79e6c545de9ad2d37c9107df,39,13.705,130,21,0,4.362,1,0,0
f01b9b668466d98deb64883fd06d580897d504a8,43,17.650,130,27,0,4.385,1,0,0
4fee6a49731b1b012ce3c80b127e346a077c4b52,67,20.627,132,67,0,4.369,17,0,0
f53aef5e060eefa9a9fb801b77b5361c8455cb03,65,20.611,132,65,0,4.338,17,0,0
244c1cf2dd499dfedb03d8cc8c5a8383bba17ba5,43,17.255,130,27,0,4.382,1,0,0
c91f51489b02346a0c04cdd3f7f843b66159454b,65,22.015,131,69,0,4.410,17,0,0
5c446a04d85dfc2407665749e5f0bf900dc02efe,43,18.222,131,32,0,4.360,1,0,0
f5cfdfb3393565ef83ab1fb873f457fcc4462556,43,18.255,131,29,0,4.393,1,0,0
b8833b5d05eddc80e97eb79d3801a8113a497658,43,17.909,131,28,0,4.380,1,0,0
71b0fe433782d307435406ec7e722f8af93535d1,0,4.480,131,0,0,4.380,0,0,0
df44c46419998c7717f372ea914e27d52766155d,65,22.590,134,81,0,4.422,20,0,0
37f59a36fa07a42ffd6c019b5bb0f55a729fb0db,43,17.646,134,28,0,4.375,1,0,0
sum,1038,375.438,2606,809,0,89.299,141,0,0
arith_mean,54.63,18.77,130.30,42.58,0,4.46,8.29,0,0
geo_mean,49.70,16.68,130.29,30.42,0,4.45,3.32,0,0
