SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
2bd1ad90f5d89ac15698b385ebcab8c8be152f5f,160,61.917,0,119,799,6.272,28,0,0
afb1e40cafbd906a4546ce0ee0074b08512d14c0,49,9.997,0,43,325,4.368,0,0,0
db5c93e9782ef6cbd44d1e9e6e041b299853e002,3,14.409,0,11,57,4.350,0,0,0
333c9f2293cbe97212b8fabcc9a3bc219232e78b,17,11.612,0,13,73,4.394,0,0,0
49576b5f522497d03be09eb33f4f941005a901da,16,13.571,0,9,29,4.345,1,0,0
9958526ed2b81f0a7fe7b5156903f6d86e936d16,31,18.679,0,10,40,4.319,2,0,0
ecec4f853f36df390e9f6dd61fea80eea9a32be0,32,31.721,0,17,115,4.365,1,0,0
4d71eb2effe2ce267883ef93769953cb7774632e,31,18.691,0,10,40,4.330,2,0,0
8990dc2c302f60eb79e6c545de9ad2d37c9107df,22,14.923,0,9,38,4.362,2,0,0
f01b9b668466d98deb64883fd06d580897d504a8,42,36.532,0,57,405,4.385,5,0,0
4fee6a49731b1b012ce3c80b127e346a077c4b52,11,19.074,0,5,31,4.369,0,0,0
f53aef5e060eefa9a9fb801b77b5361c8455cb03,0,55.516,0,0,0,4.338,26,0,0
244c1cf2dd499dfedb03d8cc8c5a8383bba17ba5,42,36.903,0,59,434,4.382,5,0,0
c91f51489b02346a0c04cdd3f7f843b66159454b,43,40.211,0,59,422,4.410,6,0,0
5c446a04d85dfc2407665749e5f0bf900dc02efe,43,38.687,0,58,421,4.360,5,0,0
f5cfdfb3393565ef83ab1fb873f457fcc4462556,42,38.366,0,60,446,4.393,5,0,0
b8833b5d05eddc80e97eb79d3801a8113a497658,42,38.229,0,60,446,4.380,5,0,0
71b0fe433782d307435406ec7e722f8af93535d1,0,7.971,0,0,0,4.380,0,0,0
df44c46419998c7717f372ea914e27d52766155d,41,40.388,0,89,628,4.422,23,0,0
37f59a36fa07a42ffd6c019b5bb0f55a729fb0db,42,38.223,0,59,409,4.375,5,0,0
sum,709,585.620,0,747,5158,89.299,121,0,0
arith_mean,39.39,29.28,0,41.50,286.56,4.46,8.07,0,0
geo_mean,30.33,25.03,0,27.97,167.56,4.45,4.71,0,0
