SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
2bd1ad90f5d89ac15698b385ebcab8c8be152f5f,160,68.846,127,127,0,6.272,26,0,0
afb1e40cafbd906a4546ce0ee0074b08512d14c0,65,37.120,127,55,0,4.368,0,0,0
db5c93e9782ef6cbd44d1e9e6e041b299853e002,67,49.621,128,100,0,4.350,22,0,0
333c9f2293cbe97212b8fabcc9a3bc219232e78b,47,12.228,129,39,0,4.394,0,0,0
49576b5f522497d03be09eb33f4f941005a901da,48,21.321,129,70,0,4.345,3,0,0
9958526ed2b81f0a7fe7b5156903f6d86e936d16,48,22.219,129,70,0,4.319,3,0,0
ecec4f853f36df390e9f6dd61fea80eea9a32be0,67,50.045,130,105,0,4.365,22,0,0
4d71eb2effe2ce267883ef93769953cb7774632e,48,22.296,130,70,0,4.330,3,0,0
8990dc2c302f60eb79e6c545de9ad2d37c9107df,48,21.846,130,70,0,4.362,3,0,0
f01b9b668466d98deb64883fd06d580897d504a8,48,39.852,130,70,0,4.385,4,0,0
4fee6a49731b1b012ce3c80b127e346a077c4b52,67,49.417,132,103,0,4.369,22,0,0
f53aef5e060eefa9a9fb801b77b5361c8455cb03,67,51.147,132,101,0,4.338,22,0,0
244c1cf2dd499dfedb03d8cc8c5a8383bba17ba5,48,40.582,130,70,0,4.382,4,0,0
c91f51489b02346a0c04cdd3f7f843b66159454b,67,51.310,131,110,0,4.410,23,0,0
5c446a04d85dfc2407665749e5f0bf900dc02efe,48,41.579,131,71,0,4.360,4,0,0
f5cfdfb3393565ef83ab1fb873f457fcc4462556,48,41.451,131,71,0,4.393,4,0,0
b8833b5d05eddc80e97eb79d3801a8113a497658,48,41.732,131,71,0,4.380,4,0,0
71b0fe433782d307435406ec7e722f8af93535d1,0,7.843,131,0,0,4.380,0,0,0
df44c46419998c7717f372ea914e27d52766155d,67,51.593,134,115,0,4.422,26,0,0
37f59a36fa07a42ffd6c019b5bb0f55a729fb0db,48,40.883,134,72,0,4.375,4,0,0
sum,1154,762.931,2606,1560,0,89.299,199,0,0
arith_mean,60.74,38.15,130.30,82.11,0,4.46,11.71,0,0
geo_mean,57.67,34.08,130.29,79.02,0,4.45,7.71,0,0
