SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\STARTS|,|STARTS\VMS|,|VMS\FINE_STARTS|,|FINE_STARTS\VMS|,|VMS\EKSTAZI|,|EKSTAZI\VMS|,|VMS\FINE_EKSTAZI|,|FINE_EKSTAZI\VMS|,|VMS\CLASSES_ps3cl|,|CLASSES_ps3cl\VMS|,|VMS\FINE_ps3cl|,|FINE_ps3cl\VMS|,|VMS\HyRTS_ps3cl|,|HyRTS_ps3cl\VMS|,|VMS\HyRTS-S_ps3cl|,|HyRTS-S_ps3cl\VMS|,|VMS\METHODS_ps3cl|,|METHODS_ps3cl\VMS|,|VMS\METHODS-F_ps3cl|,|METHODS-F_ps3cl\VMS|,|VMS\METHODS-FA_ps3cl|,|METHODS-FA_ps3cl\VMS|,|VMS\METHODS-S_ps3cl|,|METHODS-S_ps3cl\VMS|,|VMS\STARTS+CLASSES_ps3cl|,|STARTS+CLASSES_ps3cl\VMS|,|VMS\FINE_STARTS+CLASSES_ps3cl|,|FINE_STARTS+CLASSES_ps3cl\VMS|,|VMS\EKSTAZI+CLASSES_ps3cl|,|EKSTAZI+CLASSES_ps3cl\VMS|,|VMS\FINE_EKSTAZI+CLASSES_ps3cl|,|FINE_EKSTAZI+CLASSES_ps3cl\VMS|,|VMS\STARTS+HyRTS-S_ps3cl|,|STARTS+HyRTS-S_ps3cl\VMS|,|VMS\FINE_STARTS+HyRTS-S_ps3cl|,|FINE_STARTS+HyRTS-S_ps3cl\VMS|,|VMS\EKSTAZI+HyRTS-S_ps3cl|,|EKSTAZI+HyRTS-S_ps3cl\VMS|,|VMS\FINE_EKSTAZI+HyRTS-S_ps3cl|,|FINE_EKSTAZI+HyRTS-S_ps3cl\VMS|
2bd1ad90f5d89ac15698b385ebcab8c8be152f5f,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0
afb1e40cafbd906a4546ce0ee0074b08512d14c0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,3,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
db5c93e9782ef6cbd44d1e9e6e041b299853e002,26,0,0,0,23,0,0,0,23,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333c9f2293cbe97212b8fabcc9a3bc219232e78b,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49576b5f522497d03be09eb33f4f941005a901da,26,0,0,0,3,0,3,0,3,0,3,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9958526ed2b81f0a7fe7b5156903f6d86e936d16,26,0,0,0,3,0,3,0,3,0,3,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ecec4f853f36df390e9f6dd61fea80eea9a32be0,27,1,0,0,23,0,1,0,25,0,4,1,17,1,17,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4d71eb2effe2ce267883ef93769953cb7774632e,27,0,0,0,3,0,3,0,3,0,3,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8990dc2c302f60eb79e6c545de9ad2d37c9107df,27,0,0,0,3,0,3,0,3,0,3,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f01b9b668466d98deb64883fd06d580897d504a8,27,0,0,0,4,0,4,0,4,0,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4fee6a49731b1b012ce3c80b127e346a077c4b52,27,0,0,0,24,0,0,0,24,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f53aef5e060eefa9a9fb801b77b5361c8455cb03,27,0,0,0,24,0,24,0,24,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
