SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
11100798e0c0f2a8a84e26c7c31aa104311f0480,160,84.515,0,27,0,4.489,21,0,0
f78f52ff7455e09fa03bb8cd7c071268cb0e3998,38,59.720,0,17,0,4.329,17,0,0
beafa8ed339f30a3347f1b20ef112380efdc7de1,160,84.409,0,27,0,4.387,22,0,0
885fcd6168ca23e93a1c24300f2ddcbda720258c,160,98.556,0,33,0,5.212,26,0,0
19192deeb489ab9213136006c3a433a060a7b29e,160,128.615,0,34,0,5.876,26,0,0
bc98265f6d4650822fba6865e0ae591e8477897d,160,130.970,0,44,0,6.005,26,0,0
060daed5a72a0e3d95c65319fd99e3285a5b213a,160,128.786,0,33,0,5.898,26,0,0
8a09e6e090f5eaf28d3f59e005eda059025b765e,160,127.104,0,44,0,5.584,25,0,0
5ff3901493ae27eb4ef54ab0116dfc60a9fff421,40,84.663,0,33,0,5.670,20,0,0
60bd7d5cc1b515db30258a23c4949fc9b3964648,160,130.289,0,30,0,5.639,26,0,0
145a4bf7c99cf768a671e5c874bd6db7b26a3aff,39,86.524,0,29,0,5.620,19,0,0
818010687799c0fd5a63fa7a21ad7db4ad7986a7,40,87.667,0,34,0,5.683,19,0,0
607165f39d022e9ce36324e3abdb21c40bd64a14,40,87.966,0,35,0,5.722,19,0,0
8338e163b8cd4ff83f97fdd69527768338ffa5cc,160,130.890,0,35,0,5.699,25,0,0
276fe86a305d726232767bfc003d8f943b4491de,39,86.789,0,35,0,5.728,20,0,0
8841e30d9c1267941f5c7a54399eb20a5b63e65d,40,86.350,0,38,0,5.723,19,0,0
71328521eae87bd7c3deef00b15a1de1fa2c0628,40,87.921,0,41,0,5.761,20,0,0
821d1cf9581ecc2e170ab6775b7d637c27669671,40,86.400,0,41,0,5.762,21,0,0
25916d170800b4ba3946b7469317ddd7442e303a,40,87.666,0,41,0,5.826,20,0,0
fb2347bd3b7bf1649b4e645b81003b611386f904,160,131.562,0,45,0,5.845,27,0,0
sum,1996,2017.362,0,696,0,110.458,444,0,0
arith_mean,99.80,100.87,0,34.80,0,5.52,22.20,0,0
geo_mean,79.59,98.45,0,34.05,0,5.50,21.97,0,0
