SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
be6cebca842900b3b120a96528e2280f77c00021,0,111.590,0,0,0,3.986,1,0,0
d2b421fc6ea659541106c85bdd7e769882d047da,0,108.970,0,0,0,2.814,1,0,0
1b7f1c54814a02fdf7fe537e85c8b23b2bd9eea3,0,73.775,0,0,0,2.929,1,0,0
808ac2a6382024bf34cbb5bf7e5ab3c96f28f0a4,0,116.752,0,0,0,2.932,1,0,0
602da94084675c47e5ef2c298e8539f1a2a50c0a,0,119.665,0,0,0,2.971,1,0,0
7678c1d9f8c4fe82d394686eaac0dad23f2da68a,0,63.219,0,0,0,2.921,1,0,0
1c734c75379c7e146c454c33a049959a81568473,0,104.426,0,0,0,2.934,1,0,0
bcb5f8e58716226af9664668d1551a2fa32a9049,0,103.027,0,0,0,2.955,1,0,0
6739fbe3f6425582066ae6fdfcbdd49eee24e3e2,0,116.527,0,0,0,2.982,1,0,0
87bc7f2ec4d65dfa05357dcbda267fad82e9443d,0,22.800,0,0,0,2.975,3,0,0
1552d9772df1e9e496b48bf459af4690ac77a3e7,0,14.199,0,0,0,2.974,3,0,0
2f4018a90f0ba8994b677c640b6cb15a6f17803e,0,4.148,0,0,0,2.967,3,0,0
84019fb037abc6df54e2b90ae46c9957a5e2abe1,0,80.124,0,0,0,2.972,3,0,0
2184b72af9479a073d807d9365ec78dd4d5f8371,0,4.017,0,0,0,2.962,3,0,0
59401d2f6ab9da532ac3a095668248eea7366bfe,0,114.883,0,0,0,2.985,1,0,0
7f0a0231922276c5e1304175a7dffe82a370d684,0,14.539,0,0,0,2.983,3,0,0
c27afa76de5b48573b62ce31889936e403e1fb1d,0,20.141,0,0,0,2.982,3,0,0
9153aca5a293e3030fe81f543b13f0730fadf47c,0,75.433,0,0,0,2.946,3,0,0
031cf27433bbdb8627b0572d573090bca12486e3,0,14.863,0,0,0,2.936,3,0,0
0f5d5034176328953e3060dec1d1296d53caa32f,0,13.132,0,0,0,2.984,3,0,0
sum,0,1296.230,0,0,0,60.090,40,0,0
arith_mean,0,64.81,0,0,0,3.00,2.00,0,0
geo_mean,0,41.34,0,0,0,3.00,1.73,0,0
