SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
9922f9e9c2dbcf235cd60dbcc858b6bb09e161d4,160,9.562,0,9,39,2.965,0,0,0
9935c60ac67a3353a565ad6b2241ffaf051421a8,27,9.978,0,4,28,2.197,0,0,0
6b6056f0b74bdc800ca7eee0565ef42bb28ffb5c,15,14.132,0,10,35,2.248,1,0,0
11f61545596e9b642176c65a4418b81dac1a0a28,22,15.543,0,4,24,2.327,1,0,0
0e1b4b92c63836fe9224e1a54d60aeed0619adf2,22,15.582,0,4,23,2.383,1,0,0
8452318ec4a4cd88882dafe38cdde2a572ab5971,1,6.786,0,7,18,2.342,0,0,0
47def364f62597cb278375626b708f324ca68034,1,6.651,0,2,8,2.344,0,0,0
9323fe0c960896b2869346ab984d6db93643c65f,22,15.818,0,7,31,2.376,1,0,0
sum,270,94.052,0,47,206,19.182,4,0,0
arith_mean,33.75,11.76,0,5.88,25.75,2.40,1.00,0,0
geo_mean,12.73,11.12,0,5.24,23.54,2.39,1.00,0,0
