SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
995b10ba3a5bf15ceacecf92c64a8fa782023e98,160,54.052,0,43,0,5.188,6,0,0
78799a81c96d14ddc06e469d4e5fe00079e07120,46,38.809,0,42,0,4.288,5,0,0
e0cb224042974806977d8efc566f4720607669b6,46,38.714,0,42,0,4.355,5,0,0
37b5910ac6b6649a8430567089998ed57885f440,160,54.389,0,43,0,5.278,7,0,0
bf63a0d1edcf895778621e91cf6885e3a0ded013,47,40.736,0,43,0,5.288,5,0,0
1588187da57228e1bdee5f72f5cd36bc97f5b775,47,41.115,0,43,0,5.307,5,0,0
25adcdae8bb17c6ac02f032350ab52e0b2cfb0d3,160,55.214,0,43,0,5.308,7,0,0
ab030d3b556afae8113ba50b2a335ecf7a05ae19,47,41.323,0,43,0,5.388,5,0,0
95a34cbf988908f4f4b0ad4ad383bbc94e12d9f5,47,41.444,0,43,0,5.544,5,0,0
47c6da0c46021517ed19728249c986fa6c014542,47,41.496,0,43,0,5.279,5,0,0
04a79e2246aedfecdfe999a76e88b269854d9e48,160,57.029,0,50,0,6.635,7,0,0
ec1861a0d1a908baf6d94625c46059b588a97fe7,0,4.349,0,0,0,6.624,0,0,0
bb3f28a3a01c2207d25fc11b9745f8fc6991a099,47,42.113,0,50,0,6.660,5,0,0
1917d9d4003c489908fd021a1bfa6da5c631c679,48,43.201,0,51,0,6.633,5,0,0
7746663f448edd616cc3b04c7f5699f8eb3f48b1,160,89.401,0,82,0,19.028,10,0,0
8eb48044835336acef906382b8897c4502fc1751,48,67.155,0,77,0,18.858,8,0,0
2697648c4a601d2d466a6a70dcf5fcd2dc18081f,0,4.659,0,0,0,18.742,0,0,0
84952b53b417393aae78fae1db5eb3fe5b40a14a,48,67.462,0,77,0,18.718,8,0,0
adae843105c0c91d92a936c65e71ff93476d917b,47,65.729,0,57,0,19.050,8,0,0
ee56a8bfdbbc302cdc02f85977e3b49334f978f7,49,68.630,0,79,0,20.105,8,0,0
sum,1414,957.020,0,951,0,192.276,114,0,0
arith_mean,78.56,47.85,0,52.83,0,9.61,6.33,0,0
geo_mean,66.28,40.03,0,51.16,0,7.99,6.16,0,0
