SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
995b10ba3a5bf15ceacecf92c64a8fa782023e98,160,52.005,0,43,364,5.188,6,0,0
78799a81c96d14ddc06e469d4e5fe00079e07120,2,14.985,0,34,252,4.288,0,0,0
e0cb224042974806977d8efc566f4720607669b6,17,27.892,0,24,170,4.355,1,0,0
37b5910ac6b6649a8430567089998ed57885f440,160,51.915,0,46,386,5.278,7,0,0
bf63a0d1edcf895778621e91cf6885e3a0ded013,0,12.349,0,28,96,5.288,0,0,0
1588187da57228e1bdee5f72f5cd36bc97f5b775,33,39.188,0,32,264,5.307,1,0,0
25adcdae8bb17c6ac02f032350ab52e0b2cfb0d3,160,52.832,0,32,272,5.308,7,0,0
ab030d3b556afae8113ba50b2a335ecf7a05ae19,18,30.705,0,42,241,5.388,1,0,0
95a34cbf988908f4f4b0ad4ad383bbc94e12d9f5,32,38.540,0,32,135,5.544,1,0,0
47c6da0c46021517ed19728249c986fa6c014542,33,39.321,0,45,301,5.279,1,0,0
04a79e2246aedfecdfe999a76e88b269854d9e48,160,54.867,0,53,433,6.635,7,0,0
ec1861a0d1a908baf6d94625c46059b588a97fe7,0,52.195,0,0,0,6.624,7,0,0
bb3f28a3a01c2207d25fc11b9745f8fc6991a099,0,13.977,0,28,107,6.660,0,0,0
1917d9d4003c489908fd021a1bfa6da5c631c679,37,41.482,0,50,461,6.633,5,0,0
7746663f448edd616cc3b04c7f5699f8eb3f48b1,160,83.671,0,85,888,19.028,10,0,0
8eb48044835336acef906382b8897c4502fc1751,21,54.851,0,55,518,18.858,0,0,0
2697648c4a601d2d466a6a70dcf5fcd2dc18081f,0,8.400,0,0,0,18.742,0,0,0
84952b53b417393aae78fae1db5eb3fe5b40a14a,21,54.520,0,48,413,18.718,0,0,0
adae843105c0c91d92a936c65e71ff93476d917b,8,27.255,0,7,76,19.050,3,0,0
ee56a8bfdbbc302cdc02f85977e3b49334f978f7,21,54.619,0,48,423,20.105,1,0,0
sum,1043,805.569,0,732,5800,192.276,58,0,0
arith_mean,65.19,40.28,0,40.67,322.22,9.61,4.14,0,0
geo_mean,35.42,34.85,0,36.84,268.61,7.99,2.83,0,0
