SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
c6d5faf38703f9930b754483aafc7d96670efd65,160,17.079,0,89,1069,5.540,0,0,0
326c3996fed38a2945c441b67b908755fefb330e,160,17.686,0,10,24,3.500,0,0,0
a4a836590882416c5f9d6d584e561a91aeb3261c,21,8.359,0,10,49,3.255,2,0,0
592263bb36a87e9b299185ccbc6ef6cab5fe9ad6,21,10.309,0,13,38,3.249,3,0,0
279b074c230a4d38041a9f40726739b0100e67fb,8,7.612,0,8,108,3.244,2,0,0
e87be91b7284e0c95fb987b4626ada8fb2bf3884,8,7.661,0,5,10,3.161,0,0,0
a7997642e89f63ea994271d7f163d186bd19ee98,160,20.049,0,13,67,3.138,2,0,0
507e6b54112d96df593652c6ab07625415a7be58,38,7.377,0,13,32,3.582,0,0,0
424160bb1c2cd5c9594142c5b13c5770081a8da9,1,7.748,0,1,1,3.929,0,0,0
134926fe66ac8df811df849bba452676292be60d,160,22.395,0,35,267,3.928,2,0,0
c99dbb219136ea9ed30dec718985278cbaeea404,160,37.376,0,40,331,4.786,5,0,0
87e483f5a462f37fc8079dd5c89222599c3fb0e6,160,35.181,0,19,164,4.589,6,0,0
a5e4956d0c5734e60abb254c920efe64fc12fb01,160,41.432,0,27,315,3.659,5,0,0
4521b49743f083a9a60e9f8e1c78a5de3884a5e7,41,10.653,0,29,141,4.149,0,0,0
sum,1258,250.917,0,312,2616,53.709,27,0,0
arith_mean,89.86,17.92,-nan,22.29,186.86,3.84,3.38,-nan,-nan
geo_mean,44.46,14.73,-nan,14.39,70.24,3.78,3.04,-nan,-nan
