SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
2f90181f,160,36.419,0,71,329,3.258,0,0,0
2a3c92b8,0,5.759,0,2,15,2.703,0,0,0
c2fa911b,15,6.420,0,6,22,2.715,4,0,0
99469303,0,5.847,0,2,11,2.686,0,0,0
77f71a8a,0,3.506,0,0,0,2.774,0,0,0
cd7e52a5,0,5.784,0,2,15,2.677,0,0,0
dffe3f09,14,6.459,0,3,20,2.721,0,0,0
14e4619a,17,29.747,0,4,23,3.988,0,0,0
8ffb32eb,0,7.018,0,3,14,3.933,0,0,0
a3651a88,1,7.062,0,2,15,3.878,0,0,0
9064563e,0,6.584,0,1,1,3.865,0,0,0
27f23b6e,1,7.131,0,2,16,3.946,0,0,0
a90fc406,0,7.157,0,19,68,3.945,0,0,0
a4d084cb,1,7.140,0,4,33,3.861,0,0,0
97f1e8f7,0,6.851,0,3,6,3.823,0,0,0
a154125d,0,6.972,0,2,19,3.851,0,0,0
79f65f89,0,3.582,0,0,0,4.018,0,0,0
f8508b40,15,7.654,0,4,8,4.010,4,0,0
bcc947ae,0,6.951,0,2,15,3.864,0,0,0
499e0588,0,6.971,0,2,14,3.945,0,0,0
sum,224,181.014,0,134,644,70.461,8,0,0
arith_mean,28.00,9.05,0,7.44,35.78,3.52,4.00,0,0
geo_mean,7.36,7.38,0,3.39,16.84,3.48,4.00,0,0
