SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
fafafb09,160,88.349,290,290,0,15.559,2,0,0
65b79fac,0,13.739,290,0,0,14.863,2,0,0
dcd356a7,160,91.294,331,303,0,15.233,2,0,0
1718ec43,0,22.106,319,0,0,15.091,2,0,0
1794f37d,0,36.435,319,303,0,15.155,0,0,0
6bac4efe,160,107.492,341,330,0,15.854,3,0,0
49df0b0c,160,164.903,693,581,0,24.809,3,0,0
35fde0e6,160,168.516,608,596,0,24.563,3,0,0
00ecca08,160,119.401,633,554,0,20.510,2,0,0
1c6d2fc1,40,41.796,554,181,0,20.313,2,0,0
sum,1000,854.031,4378,3138,0,181.950,21,0,0
arith_mean,142.86,85.40,437.80,392.25,0,18.19,2.33,0,0
geo_mean,131.25,64.92,412.53,363.54,0,17.83,2.29,0,0
