SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
fafafb09,0,84.090,0,0,0,15.559,2,0,0
65b79fac,0,10.936,0,0,0,14.863,2,0,0
dcd356a7,0,79.311,0,0,0,15.233,2,0,0
1718ec43,0,10.802,0,0,0,15.091,2,0,0
1794f37d,0,79.900,0,0,0,15.155,2,0,0
6bac4efe,0,87.334,0,0,0,15.854,3,0,0
49df0b0c,0,149.994,0,0,0,24.809,3,0,0
35fde0e6,0,140.507,0,0,0,24.563,3,0,0
00ecca08,0,117.273,0,0,0,20.510,2,0,0
1c6d2fc1,0,54.268,0,0,0,20.313,4,0,0
sum,0,814.415,0,0,0,181.950,25,0,0
arith_mean,0,81.44,0,0,0,18.19,2.50,0,0
geo_mean,0,61.20,0,0,0,17.83,2.42,0,0
