SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
fafafb09,0,68.624,0,0,0,15.559,2,0,0
65b79fac,0,66.681,0,0,0,14.863,0,0,0
dcd356a7,0,69.743,0,0,0,15.233,0,0,0
1718ec43,0,69.750,0,0,0,15.091,0,0,0
1794f37d,0,69.654,0,0,0,15.155,0,0,0
6bac4efe,0,75.525,0,0,0,15.854,1,0,0
49df0b0c,0,127.073,0,0,0,24.809,0,0,0
35fde0e6,0,122.654,0,0,0,24.563,0,0,0
00ecca08,0,112.590,0,0,0,20.510,0,0,0
1c6d2fc1,0,98.629,0,0,0,20.313,0,0,0
sum,0,880.923,0,0,0,181.950,3,0,0
arith_mean,0,88.09,0,0,0,18.19,1.50,0,0
geo_mean,0,85.25,0,0,0,17.83,1.41,0,0
