SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
b41a5183,160,45.554,0,151,839,18.332,0,0,0
b018d98e,15,25.408,0,7,20,17.735,0,0,0
2fdb5b3a,2,27.420,0,44,124,18.607,0,0,0
47ee1b62,1,22.705,0,37,90,18.449,0,0,0
71d6dedd,24,31.258,0,44,124,18.136,0,0,0
6dc5db63,0,21.841,0,34,80,17.853,0,0,0
bfb76e28,22,27.161,0,46,142,0,0,0,0
811ede4f,22,26.612,0,44,137,0,0,0,0
bcc2e489,0,22.051,0,1,16,0,0,0,0
59188929,0,21.621,0,19,47,0,0,0,0
57af41fa,1,22.715,0,35,82,0,0,0,0
b01669dc,3,23.098,0,70,170,0,0,0,0
00e3acda,0,21.849,0,34,78,0,0,0,0
cd9ce917,0,23.168,0,55,195,0,0,0,0
cb2b78e4,0,22.870,0,2,2,0,0,0,0
e435ee51,2,23.883,0,1,2,0,0,0,0
dbc54155,0,4.413,0,0,0,0,0,0,0
b019b099,2,23.668,0,2,17,0,0,0,0
7e3ee5e7,1,26.231,0,12,34,0,0,0,0
3763da11,8,26.876,0,15,31,0,0,0,0
sum,263,490.402,0,653,2230,109.112,0,0,0
arith_mean,20.23,24.52,0,34.37,117.37,18.19,0,0,0
geo_mean,5.60,23.06,0,17.28,52.07,18.18,0,0,0
