SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
1dd870054b9a73a0e87d77b826979a023238a7c7,160,60.123,0,23,174,0,31,0,0
95b2eb2686d6bc0886f9f20454b4b702128c8342,0,9.596,0,17,111,0,0,0,0
d5aaa7cc8bc307512bd66efad25f58d389e2772b,0,9.627,0,20,196,0,0,0,0
b380cc3fc099c376c54ed454c25cc4763464f5be,0,10.108,0,19,143,0,0,0,0
12e7c5cbcbc76a65dd2a5ceb6a8fa4496cb21e0f,0,9.968,0,16,112,0,0,0,0
08d937a1ae7c23f2354d3003d8d169311d543cff,0,10.124,0,22,329,0,0,0,0
6cdd4b5e7252a5d55a2d20e8a084442fa1878afd,0,10.466,0,21,260,0,0,0,0
1bccdc924c911eb59f651610c3f04fe54df90fab,0,9.580,0,21,260,0,0,0,0
ebb21f7a75e7b185a68e41a657b98a25706d2ef4,0,5.433,0,0,0,0,0,0,0
9e07f423b5dd09dafa2674fa1a4ade0972d71443,0,5.562,0,0,0,0,0,0,0
e5a5c99331cb8f011f1a8c3ec7e2e129bb2f4e38,0,9.746,0,21,260,0,0,0,0
7c8c18bbb85ae2f6e93e5b041de4f8c861698c98,160,61.650,0,22,271,0,30,0,0
25881f3d44190df048dacfd8f9bf848dd22aeaa9,160,77.329,0,17,129,0,30,0,0
aa95ba9102dbfb5b7e0d6bbbb1425a7ba06c6f6d,0,5.864,0,0,0,0,0,0,0
c324ab452e83a4ddd9694344700834f11c77f99e,0,9.982,0,5,81,0,0,0,0
6ac8292c7a8e4a4746940d96f73d63e79ff36a5e,0,9.698,0,4,72,0,0,0,0
556e87e1b434ac4e3b06b82d0b6c88301ee6c779,0,10.106,0,4,68,0,0,0,0
9b2768ccaf4ef95abc4baf78979a796dc9e40eaa,0,10.125,0,19,154,0,0,0,0
44dab47ae2970887199351667189948a8932c27e,0,10.303,0,22,278,0,0,0,0
0715246cf8aad745e396413c1a2dac9c3308c66e,0,10.257,0,22,279,0,0,0,0
sum,480,355.647,0,295,3177,0,91,0,0
arith_mean,160.00,17.78,0,17.35,186.88,0,30.33,0,0
geo_mean,160.00,12.15,0,15.27,166.50,0,30.33,0,0
