SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
1dd870054b9a73a0e87d77b826979a023238a7c7,0,69.563,0,0,0,0,28,0,0
95b2eb2686d6bc0886f9f20454b4b702128c8342,0,68.012,0,0,0,0,28,0,0
d5aaa7cc8bc307512bd66efad25f58d389e2772b,0,71.553,0,0,0,0,30,0,0
b380cc3fc099c376c54ed454c25cc4763464f5be,0,63.092,0,0,0,0,28,0,0
12e7c5cbcbc76a65dd2a5ceb6a8fa4496cb21e0f,0,66.246,0,0,0,0,29,0,0
08d937a1ae7c23f2354d3003d8d169311d543cff,0,68.985,0,0,0,0,28,0,0
6cdd4b5e7252a5d55a2d20e8a084442fa1878afd,0,67.156,0,0,0,0,28,0,0
1bccdc924c911eb59f651610c3f04fe54df90fab,0,65.236,0,0,0,0,28,0,0
ebb21f7a75e7b185a68e41a657b98a25706d2ef4,0,2.775,0,0,0,0,0,0,0
9e07f423b5dd09dafa2674fa1a4ade0972d71443,0,2.793,0,0,0,0,0,0,0
e5a5c99331cb8f011f1a8c3ec7e2e129bb2f4e38,0,63.920,0,0,0,0,28,0,0
7c8c18bbb85ae2f6e93e5b041de4f8c861698c98,0,68.632,0,0,0,0,28,0,0
25881f3d44190df048dacfd8f9bf848dd22aeaa9,0,69.237,0,0,0,0,29,0,0
aa95ba9102dbfb5b7e0d6bbbb1425a7ba06c6f6d,0,2.832,0,0,0,0,0,0,0
c324ab452e83a4ddd9694344700834f11c77f99e,0,65.035,0,0,0,0,29,0,0
6ac8292c7a8e4a4746940d96f73d63e79ff36a5e,0,67.034,0,0,0,0,29,0,0
556e87e1b434ac4e3b06b82d0b6c88301ee6c779,0,67.397,0,0,0,0,30,0,0
9b2768ccaf4ef95abc4baf78979a796dc9e40eaa,0,73.469,0,0,0,0,28,0,0
44dab47ae2970887199351667189948a8932c27e,0,70.933,0,0,0,0,29,0,0
0715246cf8aad745e396413c1a2dac9c3308c66e,0,64.670,0,0,0,0,29,0,0
sum,0,1158.570,0,0,0,0,486,0,0
arith_mean,0,57.93,0,0,0,0,28.59,0,0
geo_mean,0,41.93,0,0,0,0,28.58,0,0
