SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
c7087ed66219f4b9b0344c96faa1c512c0461cac,160,41.716,43,43,0,2.909,7,0,0
5bfbb94a6983e6a2c5a9897ceec65fc56e715144,28,27.839,44,37,0,2.484,2,0,0
3af1768025c750cfcefd2460a9145fbb44531c02,28,27.073,44,37,0,2.438,2,0,0
1088992121d8425244a429b572894a572968fc22,28,29.307,44,37,0,2.493,2,0,0
f7bf48fb510989642a40bad1341ab8c71ee410e5,28,27.954,44,37,0,2.473,2,0,0
a03e7067a036d55ad7cbff57f8ad5bb4e0d2afee,160,48.564,63,56,0,2.594,7,0,0
ca5e1057cf3bdf3f64177daf36ea4039d66cad4c,28,32.597,62,60,0,2.605,2,0,0
4d692e9c74488e640bce245a6e6c982464e5423f,0,8.131,62,1,0,2.592,0,0,0
d1fdcfb1f3ae8326411022bbc7bebee07f1948bb,28,31.841,62,54,0,2.602,2,0,0
56d971dc2014597a1919f5e9cebd638fadb8e235,28,32.689,60,55,0,2.643,2,0,0
68471da689d4eb3cbd1b8829106273cda0f1fc40,28,32.308,60,53,0,2.573,2,0,0
893e20e8817b3437630fe390214ab8fb7a8146c0,160,48.348,76,63,0,2.636,7,0,0
dd5a9b404e844ed18862af061338aab9a8a691bb,160,51.894,66,66,0,2.654,5,0,0
f6dbafd31bede6345ef41a6eba3cb930b165707f,160,50.565,66,66,0,2.620,5,0,0
cb8e4d36a320febc3f594ad073c1ae64dd090f6a,160,50.269,66,66,0,2.704,5,0,0
c5c5b42a04013eed865715fbf373466244868a9e,160,50.495,66,66,0,2.656,5,0,0
ce818232fc4bf6154795193f428466bfd59dc4f8,160,49.726,66,66,0,2.668,5,0,0
sum,1504,641.316,994,863,0,44.344,62,0,0
arith_mean,94.00,37.72,58.47,50.76,0,2.61,3.88,0,0
geo_mean,66.93,35.01,57.53,41.61,0,2.61,3.37,0,0
