SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
c7087ed66219f4b9b0344c96faa1c512c0461cac,0,39.356,0,0,0,2.909,7,0,0
5bfbb94a6983e6a2c5a9897ceec65fc56e715144,0,36.110,0,0,0,2.484,7,0,0
3af1768025c750cfcefd2460a9145fbb44531c02,0,34.608,0,0,0,2.438,7,0,0
1088992121d8425244a429b572894a572968fc22,0,34.878,0,0,0,2.493,7,0,0
f7bf48fb510989642a40bad1341ab8c71ee410e5,0,36.401,0,0,0,2.473,7,0,0
a03e7067a036d55ad7cbff57f8ad5bb4e0d2afee,0,44.305,0,0,0,2.594,7,0,0
ca5e1057cf3bdf3f64177daf36ea4039d66cad4c,0,28.119,0,0,0,2.605,9,0,0
4d692e9c74488e640bce245a6e6c982464e5423f,0,4.252,0,0,0,2.592,9,0,0
d1fdcfb1f3ae8326411022bbc7bebee07f1948bb,0,28.734,0,0,0,2.602,9,0,0
56d971dc2014597a1919f5e9cebd638fadb8e235,0,43.503,0,0,0,2.643,7,0,0
68471da689d4eb3cbd1b8829106273cda0f1fc40,0,42.363,0,0,0,2.573,7,0,0
893e20e8817b3437630fe390214ab8fb7a8146c0,0,44.587,0,0,0,2.636,7,0,0
dd5a9b404e844ed18862af061338aab9a8a691bb,0,47.478,0,0,0,2.654,5,0,0
f6dbafd31bede6345ef41a6eba3cb930b165707f,0,46.033,0,0,0,2.620,5,0,0
cb8e4d36a320febc3f594ad073c1ae64dd090f6a,0,45.738,0,0,0,2.704,5,0,0
c5c5b42a04013eed865715fbf373466244868a9e,0,45.288,0,0,0,2.656,5,0,0
ce818232fc4bf6154795193f428466bfd59dc4f8,0,45.126,0,0,0,2.668,5,0,0
sum,0,646.879,0,0,0,44.344,115,0,0
arith_mean,0,38.05,0,0,0,2.61,6.76,0,0
geo_mean,0,34.78,0,0,0,2.61,6.63,0,0
