SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
c7087ed66219f4b9b0344c96faa1c512c0461cac,160,33.380,0,40,211,2.909,7,0,0
5bfbb94a6983e6a2c5a9897ceec65fc56e715144,29,21.009,0,40,209,2.484,2,0,0
3af1768025c750cfcefd2460a9145fbb44531c02,29,20.995,0,40,220,2.438,2,0,0
1088992121d8425244a429b572894a572968fc22,0,4.911,0,1,3,2.493,0,0,0
f7bf48fb510989642a40bad1341ab8c71ee410e5,29,20.687,0,40,226,2.473,2,0,0
a03e7067a036d55ad7cbff57f8ad5bb4e0d2afee,160,38.295,0,61,344,2.594,7,0,0
ca5e1057cf3bdf3f64177daf36ea4039d66cad4c,5,8.144,0,22,68,2.605,0,0,0
4d692e9c74488e640bce245a6e6c982464e5423f,1,5.949,0,2,5,2.592,0,0,0
d1fdcfb1f3ae8326411022bbc7bebee07f1948bb,30,24.188,0,60,368,2.602,2,0,0
56d971dc2014597a1919f5e9cebd638fadb8e235,30,23.995,0,58,301,2.643,2,0,0
68471da689d4eb3cbd1b8829106273cda0f1fc40,19,20.540,0,10,35,2.573,2,0,0
893e20e8817b3437630fe390214ab8fb7a8146c0,160,39.302,0,66,367,2.636,7,0,0
dd5a9b404e844ed18862af061338aab9a8a691bb,160,40.267,0,71,370,2.654,5,0,0
f6dbafd31bede6345ef41a6eba3cb930b165707f,160,39.017,0,71,373,2.620,5,0,0
cb8e4d36a320febc3f594ad073c1ae64dd090f6a,160,40.336,0,71,373,2.704,5,0,0
c5c5b42a04013eed865715fbf373466244868a9e,160,39.961,0,71,373,2.656,5,0,0
ce818232fc4bf6154795193f428466bfd59dc4f8,160,39.643,0,71,373,2.668,5,0,0
sum,1452,460.619,0,795,4219,44.344,58,0,0
arith_mean,90.75,27.10,0,46.76,248.18,2.61,4.14,0,0
geo_mean,48.36,22.90,0,31.43,148.00,2.61,3.63,0,0
