SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|
58619effa9b97ee8c0ea5feb8963d0d735771d22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325708b171d198ba2551b9e355cc899af478bee1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
a67364475fd7384db84acacb2000a345a5d0aa45,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
5828c2f3cbdc0b1ad63278c8e21121b152e6b17c,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
759a540be691eea7d0c33f845a650ed9e8052382,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
6f009859b3edbc83615dba1c1c7713905d9ab3d0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
d84a43cf8e92e5235b8cd3ebe88416ca15ab18f8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33946239d80235c9ac13cec90b99c8cb35d31aa8,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
363a0d899624ec59bd73211d79556fe2c65d42d9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9fb6bbb5637c8385823f5ffd0187ecda86d54ab5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bf18a741cca77fc601b74fcfc56e06ffa1468fcf,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
333a45f0e88fd5e628667eb26f1e0d830e026dc3,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
140b8c36f8a5f72e5b2d8b65f558246b67f41524,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
602c7a8c532a04c703d6f1d55c388c3cc01d3b00,9,8,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
c9cf01835da0977cfe01fb7dad3d2aac5470b598,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36d2668067bc98d91529a332fe6084bfddba3999,8,0,0,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8
e4e17f7bebb2ad6e390e6ac7356fae90b0cc250e,8,0,0,0,6,0,6,0,6,0,2,0,6,0,2,0,2,0,2
ca0120d69ea86fdf59c89c87e300a2ec2307476d,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f25cebd528632d3100f4d7701e79f622d3754843,8,0,0,0,6,0,6,0,2,0,0,0,2,0,0,0,0,0,0
455a03aa215f6362bc10cefb5e691d28246b2ebc,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,72,19,0,0,38,0,29,0,26,0,16,0,26,0,15,0,15,0,15
arith_mean,3.60,4.75,0,0,2.53,0,2.42,0,2.00,0,2.00,0,2.00,0,2.14,0,2.14,0,2.14
geo_mean,2.11,2.91,0,0,1.66,0,1.60,0,1.42,0,1.41,0,1.42,0,1.49,0,1.49,0,1.49
