SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|
e3514b997c79a0c023ce4de835d6b19c17695f80,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f00ded57b7aea7fbb0bef0aca7b889fb25f88974,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
e703bbe63b6d84e8a5b04342392594bc67bda34d,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
718c7e25cdb129d6405ca8e7358b535c80b15c1e,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
cdfc73b038a82609c3e1545430364e31283ba028,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
835c783e9270f8e2fcff98846ef7cae7051c1754,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1f5afe1466c5b5b1c68b7ff91d8947400a5c1b75,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
e94b1c16d94082b86ac928a555a3f98a3ba60bab,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
f0c9827ff637d1c8c078e4d7c1ebabb8927d49da,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
abe517fe65a5f0839763120b5350e6ea0d0da1ea,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
dab8351313c664117e248afff1f4fa11b26bfd5e,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
d5e280bf6716fc6eeea37f294bfc6420edf5caa6,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
941ff616e9a044f82e5ee5c4b6460ac8d36d6bb8,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
2a4a9522fd4117cbe52aea7bd5d3de5b5e448bc2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
4760caa9533a78061a376124c1dad382dfae2451,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42c0f0fead1e3dd4fe9b4ef4590f25c7f98c0bc5,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1391d6c3f64afdabfb8b3f75cd8c39b5f8f2e53c,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
976b65794d345cf5c18126c541d06435ef97bedf,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
914ab283c014376635e70d86222d92ec0f8cf8fe,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1fa8a112de987db835bd15c906234dd72b9e406d,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sum,20,1,0,0,18,0,18,0,16,0,11,0,16,0,11,0,11,0,11
arith_mean,1.00,1.00,0,0,1.00,0,1.00,0,1.00,0,1.00,0,1.00,0,1.00,0,1.00,0,1.00
geo_mean,1.00,1.00,0,0,1.00,0,1.00,0,1.00,0,1.00,0,1.00,0,1.00,0,1.00,0,1.00
