SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|
e62c4357c30998c53e58f57bf96af6d4161fefae,4,6,2,2,1,0,0,2,0,0,0,2,0,2,0,2,0,2,0
84889ddc96596abc9722bd7e49918ad183ab5264,5,1,0,1,2,0,2,1,0,1,0,1,0,1,0,1,0,1,0
acf94238558df6351df7518d6770eee3c9eb74b3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eadcc34b295d1c8e7a7b71747927cc84d5cfff04,4,1,1,1,2,1,2,1,0,1,0,1,0,1,0,1,0,1,0
2a3d527692b84600b402e8374e2828178e6b6074,5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
e468fd406d5fe199b7a81bfea710d8dd06544384,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
28300ba17102a82578b5a43de1bda75d998ff053,5,1,0,1,2,1,2,1,0,1,0,1,0,1,0,1,0,1,0
48911d8ad6e94637db88f49328d935b1098e30c9,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
868b4ef3b4374f696731d4cdfd5b696de021ca45,6,1,0,1,2,1,2,1,2,1,2,1,2,1,0,1,0,1,0
c5c311adc95449c472eb37c77e4a17e044fb51e7,4,0,0,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0
6fee973deae4da8ceb40d64a6de88d9fd331acb6,6,1,0,1,3,1,2,1,2,1,2,1,2,1,0,1,0,1,0
280e3326ca30746a4db66ccde2a7073da3142a07,5,0,0,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0
a574b245044e988a2a2324af67987a239b98756f,5,1,1,1,2,1,2,1,0,1,0,1,0,1,0,1,0,1,0
330acc5081e9f7451c95e40df86992151474c08a,4,2,2,2,2,2,2,2,2,2,2,1,2,2,0,2,0,2,0
b29b2f1c38f2d00e91cd5c676e65d6ec1e4ce576,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
e7a0c412b94c97ff49e4cfac539c243f46821f11,6,1,1,1,2,1,2,1,2,1,2,1,2,1,0,1,0,1,0
de938fd4c6987511b1edf6c076507a7ce972d063,6,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
bcb9da8213a12e7f6043e072bdc1902b274a2025,4,1,1,1,2,1,2,1,0,1,0,1,0,1,0,1,0,1,0
65d321b58adbf6a9f07d98fd0141883a33de740f,7,1,0,1,2,1,2,1,0,1,0,0,0,1,0,1,0,1,0
7cfc170989c3ecec86bc7c6c95876f498ed0ec1c,6,4,0,0,3,0,3,0,2,0,2,0,2,0,2,0,2,0,2
sum,106,21,8,13,39,10,38,13,14,11,14,11,14,13,2,13,2,13,2
arith_mean,5.30,1.75,1.33,1.18,2.05,1.11,2.11,1.18,2.00,1.10,2.00,1.10,2.00,1.18,2.00,1.18,2.00,1.18,2.00
geo_mean,5.22,1.38,1.26,1.13,2.01,1.08,2.09,1.13,2.00,1.07,2.00,1.07,2.00,1.13,2.00,1.13,2.00,1.13,2.00
