SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps3cl|,|CLASSES_ps3cl\VMS|,|VMS\FINE_ps3cl|,|FINE_ps3cl\VMS|,|VMS\HyRTS_ps3cl|,|HyRTS_ps3cl\VMS|,|VMS\HyRTS-S_ps3cl|,|HyRTS-S_ps3cl\VMS|,|VMS\METHODS_ps3cl|,|METHODS_ps3cl\VMS|,|VMS\METHODS-F_ps3cl|,|METHODS-F_ps3cl\VMS|,|VMS\METHODS-FA_ps3cl|,|METHODS-FA_ps3cl\VMS|,|VMS\METHODS-S_ps3cl|,|METHODS-S_ps3cl\VMS|
cbb51e2d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9102da6e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1dee974c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e0438f71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884b179f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593ba0b4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b7277646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4a8f6870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9495fd78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arith_mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
geo_mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
