SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps3cl|,|CLASSES_ps3cl\VMS|,|VMS\FINE_ps3cl|,|FINE_ps3cl\VMS|,|VMS\HyRTS_ps3cl|,|HyRTS_ps3cl\VMS|,|VMS\HyRTS-S_ps3cl|,|HyRTS-S_ps3cl\VMS|,|VMS\METHODS_ps3cl|,|METHODS_ps3cl\VMS|,|VMS\METHODS-F_ps3cl|,|METHODS-F_ps3cl\VMS|,|VMS\METHODS-FA_ps3cl|,|METHODS-FA_ps3cl\VMS|,|VMS\METHODS-S_ps3cl|,|METHODS-S_ps3cl\VMS|
bd5243156217183e1fac0f29f82a16bf83191a18,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cc78fad3acfbfc059aa105c24390b33bf5549fb0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3a26b4eef29893153bfb0e1ed0f8389ec9e5fdb6,3,0,0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
c740e6b4c80ab9e6162a39dcc280b22429e0279b,3,2,0,0,1,2,0,0,1,0,1,0,1,0,1,0,1,0,1
ebf0f473e2af95c744d953e2a6dc95b6fc38e09b,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c20a74f4ebc41a6318e6e3e77a5091f3d7ad105a,3,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
8e59e82e2223034b952d4c7ba7d07de1d732cf8c,3,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
4abc1c95f9ad92f1894c839ffad9e13b7afdf0a1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a5eedc48923a7d3a88d1e2696994e0e8cec20af4,3,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
11e3878768837c2263c73b698b1d1f5752be6de9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46dda6528dd6c26560673e827c2755e1afd20180,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286a2eea43b630b9b281e4950b0e55f6184745d7,3,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
4aaa90ce4cde75bd650886ef51e4d9915dae48af,3,2,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
sum,39,7,0,0,11,2,8,0,9,0,6,0,9,0,5,0,5,0,5
arith_mean,3.00,2.33,0,0,1.22,2.00,1.33,0,1.29,0,1.50,0,1.29,0,1.67,0,1.67,0,1.67
geo_mean,3.00,2.29,0,0,1.13,2.00,1.20,0,1.17,0,1.32,0,1.17,0,1.44,0,1.44,0,1.44
