SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|
98c48ea1415006b8a9302c0cdc100cd1ab899925,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e553d489636bbde683314ebd5a134782594eeb1a,35,3,0,0,30,0,30,3,0,3,0,3,0,3,0,3,0,3,0
ce7b9aed692c8e16dff96c0ba7f692815a522329,35,3,0,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32
8cd073c02a0cb19acb2dd5da23b4e76efaaddc5a,35,3,0,0,30,0,30,1,23,1,23,1,23,1,18,1,18,1,23
6e794a46fc5966c579080b811c78305b01009570,35,3,0,0,30,0,29,0,18,1,9,0,17,1,9,1,9,1,9
c77163782b228f908b14072f0bb6a30af34b6af2,35,3,0,0,30,0,30,0,18,1,10,0,18,1,10,1,10,1,10
da51082874b43eaf0a7878042de51a80d8738d08,35,3,0,0,30,3,0,0,10,1,1,0,31,3,0,1,11,3,0
7cc0747137b0625f75c72e5f451011fef8821c70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
886eac0584ccef3d4bc3e92220a1c84e3abf75eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
6404ef1f002ce88232249b054813f5e69165e696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a039b87192d05b4fdff1e5b7a9ec6eefec492c26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c450904fa31d36dc0cd89cb078394037588bd508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2af66c0fd889b912f805a316b2edb164714adaaa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
ab5a7fc04e55c1ba1e879d87e30e03eccd2e1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
afd8e1a45fd65bdc17726da207ae051ef2ebdaab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
1cf7dd622cdd23038aac27ac5cf750a5a23696b4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,245,53,0,0,182,3,151,4,101,7,75,4,121,9,69,7,170,9,74
arith_mean,35.00,7.57,0,0,30.33,3.00,30.20,2.00,20.20,1.40,15.00,2.00,24.20,1.80,17.25,1.40,18.89,1.80,18.50
geo_mean,35.00,4.26,0,0,30.32,3.00,30.18,1.73,18.86,1.25,9.21,1.73,23.38,1.55,15.09,1.25,16.42,1.55,16.04
