SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps3cl|,|CLASSES_ps3cl\VMS|,|VMS\FINE_ps3cl|,|FINE_ps3cl\VMS|,|VMS\HyRTS_ps3cl|,|HyRTS_ps3cl\VMS|,|VMS\HyRTS-S_ps3cl|,|HyRTS-S_ps3cl\VMS|,|VMS\METHODS_ps3cl|,|METHODS_ps3cl\VMS|,|VMS\METHODS-F_ps3cl|,|METHODS-F_ps3cl\VMS|,|VMS\METHODS-FA_ps3cl|,|METHODS-FA_ps3cl\VMS|,|VMS\METHODS-S_ps3cl|,|METHODS-S_ps3cl\VMS|
98c48ea1415006b8a9302c0cdc100cd1ab899925,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e553d489636bbde683314ebd5a134782594eeb1a,35,3,0,3,3,3,3,3,0,3,0,3,0,3,0,3,0,3,0
ce7b9aed692c8e16dff96c0ba7f692815a522329,35,3,0,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32
8cd073c02a0cb19acb2dd5da23b4e76efaaddc5a,35,3,0,3,13,3,13,3,10,3,10,3,10,3,3,3,3,3,10
6e794a46fc5966c579080b811c78305b01009570,35,3,0,3,14,3,2,3,2,3,2,3,2,3,2,3,2,3,2
c77163782b228f908b14072f0bb6a30af34b6af2,35,3,0,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3
da51082874b43eaf0a7878042de51a80d8738d08,35,3,0,3,13,3,0,3,0,3,0,3,13,3,0,3,0,3,0
7cc0747137b0625f75c72e5f451011fef8821c70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
886eac0584ccef3d4bc3e92220a1c84e3abf75eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
6404ef1f002ce88232249b054813f5e69165e696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a039b87192d05b4fdff1e5b7a9ec6eefec492c26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c450904fa31d36dc0cd89cb078394037588bd508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2af66c0fd889b912f805a316b2edb164714adaaa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ab5a7fc04e55c1ba1e879d87e30e03eccd2e1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
afd8e1a45fd65bdc17726da207ae051ef2ebdaab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
1cf7dd622cdd23038aac27ac5cf750a5a23696b4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,245,53,0,15,78,15,53,15,47,15,47,15,60,15,39,15,59,15,47
arith_mean,35.00,7.57,0,3.00,13.00,3.00,10.60,3.00,11.75,3.00,11.75,3.00,12.00,3.00,9.75,3.00,8.43,3.00,11.75
geo_mean,35.00,4.26,0,3.00,9.38,3.00,5.95,3.00,6.62,3.00,6.62,3.00,7.58,3.00,4.43,3.00,5.27,3.00,6.62
