SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps3cl|,|CLASSES_ps3cl\VMS|,|VMS\FINE_ps3cl|,|FINE_ps3cl\VMS|,|VMS\HyRTS_ps3cl|,|HyRTS_ps3cl\VMS|,|VMS\HyRTS-S_ps3cl|,|HyRTS-S_ps3cl\VMS|,|VMS\METHODS_ps3cl|,|METHODS_ps3cl\VMS|,|VMS\METHODS-F_ps3cl|,|METHODS-F_ps3cl\VMS|,|VMS\METHODS-FA_ps3cl|,|METHODS-FA_ps3cl\VMS|,|VMS\METHODS-S_ps3cl|,|METHODS-S_ps3cl\VMS|
beb456490aab88954c846cb31ffaf4212e387995,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8a7d0ec477dce966830f315c8b4e70d7676d3718,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2c7a4986827cb794a9cec3982de99976ebbb771e,4,0,0,0,3,0,3,0,3,0,3,0,3,0,1,0,1,0,3
ad5ae728c1dc296e74a480738b3a4473ebf13bc4,4,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0
7716b6ffb4dc28a03470b50d27a98c8883f70f76,4,0,0,0,3,0,3,0,3,0,0,0,3,0,0,0,0,0,0
95175a7a907be4dd60f62e6fabf1242e33af93da,4,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,2
12cca7c57116e25ec93fef24dc024e4e8effd448,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
8591b5996aac1ce6c385a784ff6b7a1d61d6430c,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d8c2e0683d348c33deffeb57846792c371c6e1c2,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
afcebefe261fe13c9aeac03bd7a0595f407588a5,4,0,0,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,2
03395a7ebbb9455a002a82ecaf53c85da0ba4be7,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
565124f83b7c48c60e769ef94ca2a36218bf6a76,4,0,0,0,3,0,3,0,3,0,3,0,3,0,1,0,1,0,3
8bf5209eb763dcf70e0728de373634c751eabb80,4,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
8536559ce22fe964b945763d74b8e264da105051,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a70ec45bb122651de65e1a93e5eae6ab0951e07,4,0,0,0,3,0,3,0,1,0,1,0,3,0,0,0,0,0,0
ef1dcb6a1da1d04e97130eb0048e798ab028bb4e,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
a69c7752709e4bc01b4fe54d03640d618bd8785d,4,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0
1a81cd369f7d2477ef5792b4055a10a0bcf124ce,4,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0
9da5157a8b9c1c668ce85b2baacc8e410d21c4c3,8,4,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0
2a5452de27ab86040dd0f17f4fda371bea121599,8,4,0,0,2,0,2,0,2,4,0,0,2,4,0,4,0,4,0
sum,88,12,0,0,38,0,38,0,22,4,11,0,28,4,4,4,4,4,12
arith_mean,4.40,4.00,0,0,2.24,0,2.24,0,2.20,4.00,2.20,0,2.33,4.00,1.33,4.00,1.33,4.00,2.40
geo_mean,4.29,4.00,0,0,2.20,0,2.20,0,2.11,4.00,2.05,0,2.29,4.00,1.26,4.00,1.26,4.00,2.35
