SHA,VMS\HyRTS,HyRTS\VMS,VMS\CLASSES,CLASSES\VMS,VMS\METHODS,METHODS\VMS,VMS\MOP,MOP\VMS,VMS\FINE,FINE\VMS
54783e78,4,0,4,0,4,0,0,0,4,0
8d69c155,0,0,0,0,0,0,0,4,0,0
77b02e2d,0,0,0,0,0,0,0,4,0,0
4960b46c,0,0,0,0,0,0,0,0,0,0
78fc1d11,0,0,0,0,0,0,0,0,0,0
6f7fca41,0,0,0,0,0,0,0,0,0,0
4be3bb81,0,0,0,0,0,0,0,0,0,0
04729fec,0,0,0,0,0,0,0,0,0,0
5320774e,0,0,0,0,0,0,0,0,0,0
ec20f258,0,0,0,0,0,0,0,0,0,0
93b67534,0,0,0,0,0,0,0,0,0,0
754f4eef,0,0,0,0,0,0,0,0,0,0
e588a0a1,0,0,0,0,0,0,0,0,0,0
64961b16,0,0,0,0,0,0,0,0,0,0
d97a554b,0,0,0,0,0,0,0,0,0,0
077d2213,0,0,0,0,0,0,0,0,0,0
bcc0f708,0,0,0,0,0,0,0,0,0,0
298774c7,0,0,0,0,0,0,0,0,0,0
c82a1004,0,0,0,0,0,0,0,0,0,0
0dedb503,0,0,0,0,0,0,0,0,0,0
