SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|
c6d5faf38703f9930b754483aafc7d96670efd65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326c3996fed38a2945c441b67b908755fefb330e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a4a836590882416c5f9d6d584e561a91aeb3261c,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592263bb36a87e9b299185ccbc6ef6cab5fe9ad6,3,1,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
279b074c230a4d38041a9f40726739b0100e67fb,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
e87be91b7284e0c95fb987b4626ada8fb2bf3884,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
a7997642e89f63ea994271d7f163d186bd19ee98,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
507e6b54112d96df593652c6ab07625415a7be58,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
424160bb1c2cd5c9594142c5b13c5770081a8da9,2,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0
134926fe66ac8df811df849bba452676292be60d,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
c99dbb219136ea9ed30dec718985278cbaeea404,5,3,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
87e483f5a462f37fc8079dd5c89222599c3fb0e6,6,1,0,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5
a5e4956d0c5734e60abb254c920efe64fc12fb01,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4521b49743f083a9a60e9f8e1c78a5de3884a5e7,9,4,0,0,5,0,5,0,5,0,5,0,5,4,0,4,0,4,0
sum,42,16,0,0,26,0,26,0,26,0,24,0,26,4,19,4,19,4,19
arith_mean,3.50,2.67,-nan,-nan,2.60,-nan,2.60,-nan,2.60,-nan,2.67,-nan,2.60,4.00,2.38,4.00,2.38,4.00,2.38
geo_mean,2.99,2.22,-nan,-nan,2.40,-nan,2.40,-nan,2.40,-nan,2.45,-nan,2.40,4.00,2.24,4.00,2.24,4.00,2.24
