SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
095f7f50,160,142.220,0,16,0,4.662,42,0,0
aab22fc4,0,7.326,0,2,0,4.044,0,0,0
8add94fc,0,2.925,0,0,0,4.110,0,0,0
ca74f47d,0,7.509,0,3,0,4.160,0,0,0
5fd00d64,1,9.806,0,4,0,4.287,12,0,0
1a2e12c8,15,63.767,0,13,0,4.561,36,0,0
ca65459f,0,2.972,0,0,0,4.588,0,0,0
0b9ede25,160,156.748,0,2,0,4.562,47,0,0
36f84631,160,158.442,0,3,0,4.583,46,0,0
b0306567,24,95.648,0,6,0,4.736,26,0,0
d53a11b8,160,172.304,0,1,0,5.546,47,0,0
667755b0,0,8.885,0,4,0,5.479,0,0,0
sum,680,828.552,0,54,0,55.318,256,0,0
arith_mean,97.14,69.05,0,5.40,0,4.61,36.57,0,0
geo_mean,42.14,27.07,0,3.85,0,4.59,33.56,0,0
