SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
095f7f50,0,139.891,0,0,0,4.662,42,0,0
aab22fc4,0,2.654,0,0,0,4.044,0,0,0
8add94fc,0,2.741,0,0,0,4.110,0,0,0
ca74f47d,0,138.558,0,0,0,4.160,43,0,0
5fd00d64,0,142.626,0,0,0,4.287,44,0,0
1a2e12c8,0,146.695,0,0,0,4.561,44,0,0
ca65459f,0,2.726,0,0,0,4.588,0,0,0
0b9ede25,0,154.325,0,0,0,4.562,47,0,0
36f84631,0,155.391,0,0,0,4.583,46,0,0
b0306567,0,125.657,0,0,0,4.736,44,0,0
d53a11b8,0,168.350,0,0,0,5.546,47,0,0
667755b0,0,149.595,0,0,0,5.479,47,0,0
sum,0,1329.209,0,0,0,55.318,404,0,0
arith_mean,0,110.77,0,0,0,4.61,44.89,0,0
geo_mean,0,53.97,0,0,0,4.59,44.85,0,0
