SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
58619effa9b97ee8c0ea5feb8963d0d735771d22,160,22.494,0,136,618,3.492,1,0,0
325708b171d198ba2551b9e355cc899af478bee1,44,16.529,0,96,663,3.025,1,0,0
a67364475fd7384db84acacb2000a345a5d0aa45,44,16.447,0,79,341,3.043,1,0,0
5828c2f3cbdc0b1ad63278c8e21121b152e6b17c,44,16.386,0,79,331,3.019,1,0,0
759a540be691eea7d0c33f845a650ed9e8052382,44,16.459,0,97,664,2.986,1,0,0
6f009859b3edbc83615dba1c1c7713905d9ab3d0,44,16.793,0,80,338,3.022,1,0,0
d84a43cf8e92e5235b8cd3ebe88416ca15ab18f8,0,3.739,0,0,0,2.978,0,0,0
33946239d80235c9ac13cec90b99c8cb35d31aa8,44,17.016,0,103,697,3.103,1,0,0
363a0d899624ec59bd73211d79556fe2c65d42d9,0,3.717,0,0,0,3.041,0,0,0
9fb6bbb5637c8385823f5ffd0187ecda86d54ab5,160,21.703,0,87,382,3.089,1,0,0
bf18a741cca77fc601b74fcfc56e06ffa1468fcf,44,17.184,0,104,710,3.005,1,0,0
333a45f0e88fd5e628667eb26f1e0d830e026dc3,44,16.814,0,84,361,3.012,1,0,0
140b8c36f8a5f72e5b2d8b65f558246b67f41524,44,17.140,0,105,712,3.068,1,0,0
602c7a8c532a04c703d6f1d55c388c3cc01d3b00,160,30.492,0,122,741,3.653,9,0,0
c9cf01835da0977cfe01fb7dad3d2aac5470b598,0,3.643,0,0,0,3.232,0,0,0
36d2668067bc98d91529a332fe6084bfddba3999,160,31.366,0,120,728,3.278,8,0,0
e4e17f7bebb2ad6e390e6ac7356fae90b0cc250e,44,23.779,0,87,392,3.267,6,0,0
ca0120d69ea86fdf59c89c87e300a2ec2307476d,0,3.649,0,0,0,3.268,0,0,0
f25cebd528632d3100f4d7701e79f622d3754843,25,18.986,0,3,12,3.273,2,0,0
455a03aa215f6362bc10cefb5e691d28246b2ebc,160,75.172,0,160,758,4.107,9,0,0
sum,1265,389.508,0,1542,8448,63.961,45,0,0
arith_mean,79.06,19.48,0,96.38,528.00,3.20,2.81,0,0
geo_mean,63.58,14.93,0,80.61,420.90,3.19,1.75,0,0
