SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
767e5ef237544640bbf638a145317c223c4525ab,160,67.625,0,44,235,3.993,8,0,0
441a17e9cede9cc73dc2860e29d779a85fd99e99,41,36.316,0,38,198,3.609,7,0,0
11c857e7eb359fcabd6ce7e0a02cd7ad773b0d9c,33,33.474,0,55,268,3.771,9,0,0
e5ac9345dcda19981fe521530708e8f24537deaa,160,61.789,0,69,342,3.721,10,0,0
b22ddbf0544d9e019c41af70f1320497eedc867a,39,43.156,0,19,86,3.918,8,0,0
0904f0e9cc3d73cb94dda690b3b4fbeefe828e9c,160,64.500,0,74,406,4.331,10,0,0
6efd85b2d8267d554293eadd608c9963f81e0478,39,42.828,0,54,227,4.281,9,0,0
cd68eb8dca18760d77d010569aab938c766e19c2,29,148.199,0,77,447,6.143,9,0,0
6bcf7fcc3a382df20e75cc8de26a173fe6638ffa,41,38.252,0,76,433,4.229,9,0,0
f8d9f00c7bb21541d0986666be4b74d47a85f9f6,29,181.196,0,80,476,6.217,9,0,0
4f91dd1bb29f23e20233e4a95ad00feb575259d6,33,178.586,0,61,280,6.248,9,0,0
86016c7dfc776f582b001c9b34d26f332128db8b,33,181.127,0,63,309,5.829,9,0,0
638c1ddf47aa4e7acdfc2cc537666c93f8dead1c,41,189.769,0,64,299,5.693,9,0,0
427b91e5708f78fdb018c00b2148e95a3c4aa008,41,177.229,0,78,393,5.773,9,0,0
ac1e3a43da2469c62dce19e8111b011756f1f08c,41,189.368,0,64,286,5.846,9,0,0
62c060ad12fdd998ec0aaef20867bdc1647c35d0,160,218.921,0,80,384,6.043,14,0,0
2c93dbab98c656732261bbaa77a35f85241df693,44,202.541,0,69,296,5.992,14,0,0
49d5b5932631a9d640b9dda67f7d1c03ae6c9a58,44,203.571,0,59,241,6.005,14,0,0
27b7842bf5ba2847b350421d1ac555988a402e97,44,46.448,0,82,399,3.598,11,0,0
15954a0aa18244e151963a0fcd5274d5849929a5,44,54.607,0,79,373,3.585,11,0,0
sum,1256,2359.502,0,1285,6378,98.825,197,0,0
arith_mean,62.80,117.98,0,64.25,318.90,4.94,9.85,0,0
geo_mean,50.80,94.05,0,61.42,300.86,4.82,9.68,0,0
