SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
e3514b997c79a0c023ce4de835d6b19c17695f80,160,42.073,0,198,1088,4.003,1,0,0
f00ded57b7aea7fbb0bef0aca7b889fb25f88974,62,237.072,0,177,1051,3.471,1,0,0
e703bbe63b6d84e8a5b04342392594bc67bda34d,36,178.983,0,176,1038,3.459,0,0,0
718c7e25cdb129d6405ca8e7358b535c80b15c1e,64,244.764,0,181,1108,3.487,1,0,0
cdfc73b038a82609c3e1545430364e31283ba028,66,249.882,0,188,1272,3.550,1,0,0
835c783e9270f8e2fcff98846ef7cae7051c1754,6,22.705,0,155,854,3.539,0,0,0
1f5afe1466c5b5b1c68b7ff91d8947400a5c1b75,38,202.223,0,178,1033,3.529,1,0,0
e94b1c16d94082b86ac928a555a3f98a3ba60bab,51,216.920,0,177,1046,3.542,1,0,0
f0c9827ff637d1c8c078e4d7c1ebabb8927d49da,38,197.720,0,185,1244,3.533,1,0,0
abe517fe65a5f0839763120b5350e6ea0d0da1ea,33,192.843,0,181,1040,3.762,1,0,0
dab8351313c664117e248afff1f4fa11b26bfd5e,26,175.611,0,160,872,3.737,0,0,0
d5e280bf6716fc6eeea37f294bfc6420edf5caa6,6,15.378,0,160,873,3.755,0,0,0
941ff616e9a044f82e5ee5c4b6460ac8d36d6bb8,41,205.877,0,147,1023,3.763,1,0,0
2a4a9522fd4117cbe52aea7bd5d3de5b5e448bc2,34,200.531,0,185,1015,3.808,0,0,0
4760caa9533a78061a376124c1dad382dfae2451,2,9.440,0,12,114,3.766,0,0,0
42c0f0fead1e3dd4fe9b4ef4590f25c7f98c0bc5,160,53.805,0,189,1166,3.915,1,0,0
1391d6c3f64afdabfb8b3f75cd8c39b5f8f2e53c,45,269.864,0,187,1107,3.957,1,0,0
976b65794d345cf5c18126c541d06435ef97bedf,29,226.089,0,126,802,3.959,0,0,0
914ab283c014376635e70d86222d92ec0f8cf8fe,48,273.823,0,141,936,3.949,1,0,0
1fa8a112de987db835bd15c906234dd72b9e406d,24,198.976,0,124,796,3.949,0,0,0
sum,969,3414.579,0,3227,19478,74.433,12,0,0
arith_mean,48.45,170.73,0,161.35,973.90,3.72,1.00,0,0
geo_mean,32.97,124.34,0,147.04,905.98,3.72,1.00,0,0
