SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
6a8ef6dfec9421e74f38267a772370b0f1cd2c9d,160,179.172,0,2307,23331,42.615,10,0,0
4da97794eaa3a08d33e253d41ea78f50eb749170,76,72.966,0,1293,13100,28.309,0,0,0
e6ec6fc9e6b05b27e2fbcab7f970a7509d755174,160,199.334,0,1301,13175,33.848,10,0,0
f3dece2ee657ed38fbd1f952feaf3a3653b09d8a,53,76.842,0,480,1405,29.209,0,0,0
96d6580a72a575d20cfb4c627b3eb7cef770b3f3,160,157.219,0,1303,13143,28.837,10,0,0
fdd98e5113b599ff05734a6ceb3cfe85d44ab491,160,156.252,0,1318,13262,28.610,10,0,0
233ab917c942420a67b9ddd599098e310a08d3f7,77,97.252,0,1299,13150,29.514,0,0,0
sum,846,939.037,0,9301,90566,220.942,40,0,0
arith_mean,120.86,134.15,-nan,1328.71,12938.00,31.56,10.00,-nan,-nan
geo_mean,110.66,125.06,-nan,1225.68,10378.22,31.24,10.00,-nan,-nan
