SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
cbb51e2d,160,76.858,94,94,0,5.844,0,0,0
9102da6e,160,67.149,137,126,0,5.536,0,0,0
1dee974c,57,11.952,137,126,0,5.481,0,0,0
e0438f71,57,14.623,137,126,0,5.522,0,0,0
884b179f,57,14.741,141,132,0,5.510,0,0,0
593ba0b4,55,12.422,142,131,0,5.512,0,0,0
b7277646,55,12.360,142,131,0,5.532,0,0,0
4a8f6870,54,12.431,142,129,0,5.557,0,0,0
9495fd78,0,3.333,140,0,0,5.563,0,0,0
sum,655,225.869,1212,995,0,50.057,0,0,0
arith_mean,81.88,25.10,134.67,124.38,0,5.56,0,0,0
geo_mean,72.63,16.37,133.71,123.74,0,5.56,0,0,0
